partner_id,name_native,name_latin,partner_class,talent_roles,agency_name,agency_status,origin_market,audience_metric,audience_value,audience_as_of,brands_partnered,confidence,notes
T011,吉野裕行,Yoshino Hiroyuki,seiyuu_individual,voice_actor,Kiramune label,label,JP,,,,final (Namikawa trio);AVIOT (via Kiramune),verified_primary,One of the trio voice pattern on final TWSN73.
T012,福山潤,Fukuyama Jun,seiyuu_individual,voice_actor,not established,unknown,JP,,,,final (Namikawa trio),verified_primary,
T013,石原夏織,Ishihara Kaori,seiyuu_individual,voice_actor;singer,not established,unknown,JP,,,,Universal Music,verified_primary,D60A platform - 6mm dynamic IPX7 5g.
T014,茅野愛衣,Kayano Ai,seiyuu_individual,voice_actor,not established,unknown,JP,,,,Universal Music,verified_primary,Her model's power-on line is 電源オンぴょん.
T015,関俊彦,Seki Toshihiko,seiyuu_individual,voice_actor,not established,unknown,JP,,,,Universal Music,verified_primary,
T016,羽多野渉,Hatano Wataru,seiyuu_individual,voice_actor,not established,unknown,JP,,,,Universal Music,verified_primary,Diamond-cut platform - different spec at the same price.
T017,神谷浩史,Kamiya Hiroshi,seiyuu_individual,voice_actor,Kiramune label,label,JP,,,,AVIOT (via Kiramune),verified_primary,
T018,Kiramune,Kiramune,seiyuu_label,voice_actor,Lantis and Bandai Namco Arts,label,JP,roster_size,13,2023,AVIOT,verified_primary,MALE SEIYUU LABEL created by Lantis and Bandai Namco Arts. Name coined from kirakira + community + music. THE ROUTE TO 13 SEIYUU IN ONE DEAL - the workaround for agencies not licensing endorsement rights. 4 of 13 names still transliteration-only.
T019,i☆Ris,i-Ris,seiyuu_group,voice_actor;idol,not established,unknown,JP,,,,AVIOT,verified_primary,Voice-actor idol group at the full 22880 IP tier.
T020,HYDE,HYDE,musician,musician;singer,not established,unknown,JP,,,,AVIOT,verified_primary,L'Arc-en-Ciel / VAMPS vocalist. HIGHEST-PRICED COLLABS IN THE DATASET - WA-J1-666 headphones at JPY 46260 and TE-J2-666 earbuds at JPY 39660. BOTH SOLD OUT. Reached the top of the market via a rock musician not an anime property.
T021,アイナ・ジ・エンド,Aina The End,musician,musician;singer,not established,unknown,JP,,,,AVIOT,verified_primary,Formerly of BiSH. TE-J1-AiNA at JPY 25960.
T022,96猫,96Neko,utaite_individual,singer;utaite,not established,unknown,JP,,,,AVIOT,verified_primary,Utaite (cover singer). JPY 18700 individual-talent tier.
T023,なかやまきんに君,Nakayama Kinni-kun,celebrity_comedian,comedian;bodybuilder,not established,unknown,JP,,,,AVIOT,verified_primary,NEW PARTNER CLASS. Bone-conduction SKU with 24 newly recorded voice types plus a random motivational voice function.
T025,不破湊,Fuwa Minato,vtuber_individual,vtuber,Nijisanji (ANYCOLOR),agency,JP,,,,AVIOT,verified_primary,TE-Q3-MNT. An automated page read garbled this as Minato Aqua (a hololive talent) - corrected via Dengeki Online and model-code morphology MNT.
T026,渡会雲雀,Watarai Hibari,vtuber_individual,vtuber,Nijisanji (ANYCOLOR),agency,JP,,,,AVIOT,verified_primary,TE-Q3-HBR. Automated read garbled as Kumo Watakabe.
T027,Ibrahim,Ibrahim,vtuber_individual,vtuber,Nijisanji (ANYCOLOR),agency,JP,,,,AVIOT,verified_primary,TE-Q3-IBR.
T028,ローレン・イロアス,Lauren Iroas,vtuber_individual,vtuber,Nijisanji (ANYCOLOR),agency,JP,,,,AVIOT,verified_primary,TE-Q3-LRN.
T029,百満天原サロメ,Hyakumantenbara Salome,vtuber_individual,vtuber,Nijisanji (ANYCOLOR),agency,JP,,,,AVIOT,verified_primary,TE-V1R-SLM. Price now confirmed at 22880; was lead_only.
T030,叶,Kanae,vtuber_individual,vtuber,Nijisanji (ANYCOLOR),agency,JP,,,,ONKYO,verified_primary,Fully made-to-order; orders opened 2024-10-16 15:00.
T031,緋八マナ,Hiyahachi Mana,vtuber_individual,vtuber,Nijisanji (ANYCOLOR),agency,JP,,,,ONKYO,verified_primary,Fully made-to-order.
T032,小柳ロウ,Koyanagi Rou,vtuber_individual,vtuber,Nijisanji (ANYCOLOR),agency,JP,,,,ONKYO,verified_primary,11 voice words; JPY 18000.
T033,星導ショウ,Hoshidou Shou,vtuber_individual,vtuber,Nijisanji (ANYCOLOR),agency,JP,,,,ONKYO,verified_primary,11 voice words; JPY 18000.
T034,宇佐美リト,Usami Lito,vtuber_individual,vtuber,Nijisanji (ANYCOLOR),agency,JP,,,,ONKYO,verified_primary,JPY 18000; announced 2026-05-13.
T035,佐伯イッテツ,Saeki Ittetsu,vtuber_individual,vtuber,Nijisanji (ANYCOLOR),agency,JP,,,,ONKYO,verified_primary,JPY 18000; announced 2026-05-13.
T036,神楽めあ,Kagura Mea,vtuber_individual,vtuber,independent,independent,JP,,,,ONKYO,verified_primary,ORDER WINDOW CURRENTLY OPEN 2026-09-04 to 2026-10-09. 13 voice words; QCC3072; low-latency game mode.
T037,神楽七奈,Kagura Nana,vtuber_individual,vtuber,independent,independent,JP,,,,AVIOT,verified_primary,JPY 18700 individual-talent tier.
T038,星街すいせい,Hoshimachi Suisei,vtuber_individual,vtuber;singer,hololive (COVER Corp),agency,JP,,,,ONKYO,verified_secondary,ANIMA ANW03 with TAKU INOUE as Midnight Grand Orchestra. 42 voice clips - cited as class-leading for a standalone model. NOTE she is hololive JAPAN and her SKU came via ONKYO not AVIOT.
T039,hololive English -Myth-,hololive English Myth,vtuber_unit,vtuber,hololive (COVER Corp),agency,JP,,,,AVIOT,verified_primary,5 talents; 200+ clips across 10 JP/EN modes.
T040,hololive English -Advent-,hololive English Advent,vtuber_unit,vtuber,hololive (COVER Corp),agency,JP,,,,AVIOT,verified_primary,5 talents; 370+ clips - highest clip count in the dataset. SOLD OUT.
T041,hololive English -Promise-,hololive English Promise,vtuber_unit,vtuber,hololive (COVER Corp),agency,JP,,,,AVIOT,verified_primary,
T042,hololive English -Justice-,hololive English Justice,vtuber_unit,vtuber,hololive (COVER Corp),agency,JP,,,,AVIOT,verified_primary,
T043,あおぎり高校,Aogiri High School,vtuber_unit,vtuber,viviON Group (from Brave Group Apr 2023),agency,JP,youtube_subscribers,1000000,2024-04-27,AVIOT,verified_secondary,Began as あおぎり高校ゲーム部 Oct 2018. 11 active talents. 270+ voice clips and 3 audio modes on TE-V1R-AGK. viviON IS DLSITE'S PARENT GROUP - the same owner as the platform behind the LUKLUK Aoharu01 ASMR earphone.
T044,ハニーストラップ,Honey Strap,vtuber_unit,vtuber,774 inc.,agency,JP,,,,,verified_secondary,Suou Patra's original unit. Members: 西園寺メアリ 島村シャルロット 周防パトラ 堰代ミコ 蒼月エリ. Context for T001 not itself a collab partner.
T045,Kizuna AI,Kizuna AI,virtual_character,virtual_talent,not established,unknown,JP,,,,AVIOT;ONKYO,verified_primary,Multiple ANIMA models plus AVIOT TE-V1R-KZN at 18700.
T046,なちょねこ,Nachoneko,virtual_character,virtual_talent,not established,unknown,JP,,,,AVIOT,verified_primary,Has earphone plus T-shirt acrylic stand and fabric poster SKUs.
T047,初音ミク,Hatsune Miku,virtual_singer,voicebank,Crypton Future Media,rightsholder,JP,,,,MOONDROP;Xinghaibei,verified_secondary,VOICEBANK NOT A PERFORMER. Two Moondrop SKUs routed via the sub-licensor MOEYU. CNY 239 gift box and CNY 439-499 wired IEMs.
T048,洛天依,Luo Tianyi,virtual_singer,voicebank,Vsinger,rightsholder,CN,,,,MOONDROP;SONGX,verified_secondary,VOICEBANK NOT A PERFORMER. The most-collaborated Chinese virtual property found - appears on both Moondrop (CNY 239) and SONGX (CNY 229-359).
T049,AG电竞俱乐部,AG Esports Club,esports_club,pro_gamers,not established,unknown,CN,,,,MOONDROP,verified_secondary,NEW PARTNER CLASS. AG team players participated in tuning; voiced for Delta Force. CNY 439 vs CNY 399 base = the ONLY measured collab premium in the dataset at +10.0%.
T050,歌手,Singer,tv_programme_ip,tv_show,Hunan Satellite TV,rightsholder,CN,,,,MOONDROP,verified_secondary,NEW PARTNER CLASS tv programme. CNY 399 over-ear ANC.
T051,A&G NEXT STEP HOOOOPE!,A and G NEXT STEP HOOOOPE!,radio_programme,radio_show,Bunka Broadcasting,rightsholder,JP,,,,AVIOT,verified_primary,NEW PARTNER CLASS radio programme. AVIOT also runs a sponsored segment inside this show - the relationship layer turned into product.
T052,Crinacle,Crinacle,reviewer_influencer,audio_reviewer,independent,independent,SG,,,,MOONDROP,verified_primary,NOT TALENT - influencer co-tuning. Moondrop DUSK at CNY 2499 the highest-priced Moondrop collab. Logged for completeness and excluded from talent analysis.
T053,ピエール中野,Pierre Nakano,musician,musician;tuning_advisor,not established,unknown,JP,,,,Hi-Unit,verified_secondary,Tuning credit on Hi-Unit Sanrio models - a musician credited for sound not likeness.
T054,原田光晴,Harada Mitsuharu,mastering_engineer,tuning_advisor,not established,unknown,JP,,,,ONKYO,verified_primary,Leading Japanese mastering engineer; development and design advisor on the ONKYO Girls Band Cry K3 custom IEM. Mastering-studio large monitors used as the sonic reference.
T055,三間雅文,Mami Masafumi,sound_director,tuning_advisor,not established,unknown,JP,,,,JVCKenwood,verified_primary,Anime sound director - credits include Pokemon My Hero Academia and Attack on Titan. Supervised tuning of the EX-DUB1 oshigoe audio system.
T056,TAKU INOUE,TAKU INOUE,musician,producer;musician,not established,unknown,JP,,,,ONKYO,verified_secondary,With Hoshimachi Suisei as Midnight Grand Orchestra on ANIMA ANW03 and ANW01.
T057,岩田光央,Iwata Mitsuo,seiyuu_individual,voice_actor,Kiramune label,label,JP,,,,,verified_secondary,Kiramune CONNECT unit with Suzumura Kenichi - Kiramune's FIRST artist; debut album April 2009. In the AVIOT Kiramune 13.
T058,柿原徹也,Kakihara Tetsuya,seiyuu_individual,voice_actor,Kiramune label,label,JP,,,,AVIOT (via Kiramune),verified_secondary,Kiramune solo member.
T059,岡本信彦,Okamoto Nobuhiko,seiyuu_individual,voice_actor,Kiramune label,label,JP,,,,AVIOT (via Kiramune),verified_secondary,Kiramune solo member.
T060,木村良平,Kimura Ryohei,seiyuu_individual,voice_actor,Kiramune label,label,JP,,,,AVIOT (via Kiramune),verified_secondary,Kiramune Trignal unit.
T061,代永翼,Yonaga Tsubasa,seiyuu_individual,voice_actor,Kiramune label,label,JP,,,,AVIOT (via Kiramune),verified_secondary,Kiramune Trignal unit.
T062,上村祐翔,Kamiura Yusho,seiyuu_individual,voice_actor,Kiramune label,label,JP,,,,,verified_secondary,Kiramune SparQlew unit.
T063,保住有哉,Hozumi Yuya,seiyuu_individual,voice_actor,Kiramune label,label,JP,,,,,verified_secondary,Kiramune SparQlew unit.
T064,堀江瞬,Horie Shun,seiyuu_individual,voice_actor,Kiramune label,label,JP,,,,,verified_secondary,Kiramune SparQlew unit.
T065,吉永拓斗,Yoshinaga Takuto,seiyuu_individual,voice_actor,Kiramune label,label,JP,,,,,verified_secondary,Kiramune SparQlew unit.
T066,IXIS,IXIS,seiyuu_group,voice_actor,Kiramune label,label,JP,roster_size,6,2025-11,,verified_secondary,Kiramune's first new unit in ~8 years. Joined 2025-11-16 at the Kiramune Fan Meeting in Takasaki; major debut 2026-03-05 with mini album Roots of. Members: 市川太一 Ichikawa Taichi; 小野元春 Ono Motoharu; 草野太一 Kusano Taichi; 小林大紀 Kobayashi Daiki; 榊原優希 Sakakihara Yuki; 堀金蒼平 Horikane Sohei. NOT YET used in any collab earphone - an untapped route for a follow-up deal.
T067,石川界人,Ishikawa Kaito,seiyuu_individual,voice_actor,not established,unknown,JP,,,,Universal Music,verified_secondary,One of the seven 2021 TOoKA BASE seiyuu models at JPY 14300.
T068,津田健次郎,Tsuda Kenjiro,seiyuu_individual,voice_actor,not established,unknown,JP,,,,Universal Music,verified_secondary,TOoKA BASE seiyuu model.
T069,寺島拓篤,Terashima Takuma,seiyuu_individual,voice_actor,not established,unknown,JP,,,,Universal Music,verified_secondary,TOoKA BASE seiyuu model.
T070,増田俊樹,Masuda Toshiki,seiyuu_individual,voice_actor,not established,unknown,JP,,,,Universal Music,verified_secondary,TOoKA BASE seiyuu model.
T071,内田彩,Uchida Aya,seiyuu_individual,voice_actor,not established,unknown,JP,,,,Universal Music,verified_secondary,TOoKA BASE seiyuu model.
T072,鬼頭明里,Kito Akari,seiyuu_individual,voice_actor;singer,not established,unknown,JP,,,,Universal Music,verified_secondary,TOoKA BASE seiyuu model.
T073,小倉唯,Ogura Yui,seiyuu_individual,voice_actor;singer,not established,unknown,JP,,,,Universal Music,verified_secondary,TOoKA BASE seiyuu model; price not retrieved.
T074,森久保祥太郎,Morikubo Shotaro,seiyuu_individual,voice_actor,not established,unknown,JP,,,,Universal Music,verified_primary,TOoKA BASE seiyuu model released 14 November.
T075,上坂すみれ,Uesaka Sumire,seiyuu_individual,voice_actor;singer,not established,unknown,JP,,,,Universal Music,verified_secondary,TOoKA BASE seiyuu model on the NT01 / 03 platform.
T076,花澤香菜,Hanazawa Kana,seiyuu_individual,voice_actor,not established,unknown,JP,,,,Universal Music,verified_secondary,One of the five Nakano-sisters voices on the TOoKA BASE Quintessential Quintuplets model.
T077,竹達彩奈,Taketatsu Ayana,seiyuu_individual,voice_actor,not established,unknown,JP,,,,Universal Music,verified_secondary,Quintessential Quintuplets model.
T078,伊藤美来,Ito Miku,seiyuu_individual,voice_actor;singer,not established,unknown,JP,,,,Universal Music;audio-technica (promo only),verified_secondary,Quintessential Quintuplets model. ALSO appeared in audio-technica's Color of Life promo campaign - evidence that audio-technica has talent access and chooses not to ship product.
T079,佐倉綾音,Sakura Ayane,seiyuu_individual,voice_actor,not established,unknown,JP,,,,Universal Music,verified_secondary,Quintessential Quintuplets model.
T080,水瀬いのり,Minase Inori,seiyuu_individual,voice_actor;singer,not established,unknown,JP,,,,Universal Music,verified_secondary,Quintessential Quintuplets model.
T081,森田成一,Morita Masakazu,seiyuu_individual,voice_actor,not established,unknown,JP,,,,Universal Music,verified_secondary,One of three voices on the TOoKA BASE Kingdom model.
T082,小山力也,Koyama Rikiya,seiyuu_individual,voice_actor,not established,unknown,JP,,,,Universal Music,verified_secondary,TOoKA BASE Kingdom model.
T083,すーぱーそに子,Super Sonico,virtual_character,virtual_talent,Nitroplus,rightsholder,JP,,,,Zeeny,verified_primary,THREE Zeeny SKUs across three platforms - T-Box speaker; earphone plus charger set; and Zeeny Artist. The most-reused partner in Zeeny's catalogue.
T084,YuNi,YuNi,virtual_singer,virtual_talent;singer,not established,unknown,JP,,,,Zeeny,verified_primary,Zeeny T-Box Bluetooth SPEAKER collab.
T085,恋乃夜まい,Koinoya Mai,vtuber_individual,vtuber,not established,unknown,JP,,,,Zeeny,verified_primary,Zeeny Lights 3 - TAIWAN AND HONG KONG EXCLUSIVE; the only region-restricted collab found.
T086,loveちゃん,Love-chan,vtuber_individual,vtuber,not established,unknown,JP,,,,Zeeny,verified_primary,Zeeny T-Box Bluetooth SPEAKER collab.
T087,TV announcers (3 unnamed),TV announcers,tv_announcer,announcer,not established,unknown,JP,,,,Universal Music,verified_secondary,NEW PARTNER CLASS found on no other brand. Three models at JPY 12100. Individual names not retrieved.
T088,ピエール中野,Pierre Nakano,musician,musician;drummer;tuning_supervisor,not established,unknown,JP,,,,AVIOT;Hi-Unit,verified_primary,DRUMMER of Ling Tosite Sigure. THE LONGEST-RUNNING COLLAB RELATIONSHIP IN THE DATASET - the AVIOT Piyahon series has reached INSTALLMENT 9. Supervises sound tuning and on the flagship also design. Piyahon 7 (TE-ZX1-PNK) is a 5-driver hybrid at JPY 49500. Dedicated brand collection page at shop.aviot.jp/collections/pnk. Also carries a tuning credit on Hi-Unit Sanrio models. SUPERSEDES T053 which recorded only the Hi-Unit credit.
T089,井口裕香,Iguchi Yuka,seiyuu_individual,voice_actor,not established,unknown,JP,,,,AVIOT,verified_primary,Voices Rosemine on the AVIOT Ascendance of a Bookworm model - preorder 2026-08-20.
T090,速水奨,Hayami Sho,seiyuu_individual,voice_actor,not established,unknown,JP,,,,AVIOT,verified_primary,Voices Ferdinand on the AVIOT Ascendance of a Bookworm model.
T091,西園寺メアリ,Saionji Mary,vtuber_individual,vtuber,774 inc. (Nanashi Inc),agency,JP,,,,ONKYO,verified_primary,CURRENT - ONKYO CP-TWS01E collab; order window 2026-06-05 to 2026-07-17; ship late Sep to early Oct 2026. DESIGN BASED ON HER OWN DESIGN PROPOSAL - dot-art style themed on healing and relaxation. 13 voice words. A HONEY STRAP MEMBER - the same 774 inc. unit Suou Patra led so 774 inc. is still active in this category.
T092,宗谷いちか,Souya Ichika,vtuber_individual,vtuber,774 inc. (Nanashi Inc),agency,JP,,,,ONKYO,verified_primary,THIRD 774 inc. talent to receive an audio collab after Suou Patra and Saionji Mary. Fully made-to-order from 2025-12-24 18:00. Confirms 774 inc. as a repeat counterparty despite its parent Adways being the smallest listed agency parent in the dataset.
T093,夜絆ニウ,Yozuna Niu,vtuber_individual,vtuber,Neo-Porte (Brave group),agency,JP,,,,ONKYO,verified_primary,Neo-Porte 1st generation talent. ONKYO model shipped 2026-08-06/07. BRAVE GROUP IS AN ACTIVE COUNTERPARTY - absent from the Q3 census entirely.
T094,ZIP-FM,ZIP-FM,radio_programme,radio_station,ZIP-FM,rightsholder,JP,,,,Zeeny,verified_primary,Nagoya radio station. Earbuds by Zeeny 30th anniversary edition 2023-09-29. SECOND radio-sector partner in the dataset after Bunka Broadcasting with AVIOT - radio is a recurring route into voice-adjacent audiences.
T095,渋谷ハル,Shibuya Haru,vtuber_individual,vtuber;agency_founder,Neo-Porte,agency,JP,,,,,verified_secondary,Co-founder and operator of Neo-Porte alongside Crazy Raccoon Mafumafu and Soraru. NOT ITSELF A COLLAB PARTNER - recorded because talent-founded agencies are a distinct counterparty structure.
