company_id,name_latin,name_native,legal_name,roles,country,hq_city,founded,ownership,exchange,ticker,parent_company,employees,collab_sku_count,website,confidence,notes
C017,SONGX,,深圳音准科技有限公司,audio_brand,CN,Shenzhen (Bao'an District),,private,,,,,1,http://www.songplusaudio.com/,verified_secondary,Shenzhen Yinzhun Technology Co. Ltd. Positioned as 潮玩耳机品牌 - design-led trend-toy brand founded by designers. Red Dot; iF; and Japan G-MARK design awards. Collabs: Luo Tianyi; The Wandering Earth; Line Friends.
C018,TANCHJIM,天使吉米,,audio_brand,CN,,2015,private,,,,,0,,verified_secondary,STRATEGIC COUNTER-EXAMPLE. Created its OWN anime-style brand character 浅野天琪 Asano Tanchi rather than licensing. Captures the same ACG audience with zero licensing cost and zero rightsholder dependency. Elaborate packaging with certificates and character cards. Models BUNNY (CNY 99 class); TANYA; NORA; ORIGIN. From HKD 399.
C019,MissEvan,猫耳FM,,platform;audio_brand,CN,,operating 12 years,subsidiary,,,bilibili,,1,https://www.missevan.com/,verified_primary,Content platform that became its own hardware brand. Primary Chinese audio-drama and CV platform aggregating both Chinese and Japanese voice talent. Avg paid user buys 12 dramas/year; top user spend >CNY 150000; 20+ in-house producers and 50+ partner studios; 2026 slate 18 new series + 30 in development. Runs the 猫耳声刻 event brand - 2025 offline attendance >50000; >500M topic impressions; >200M derivative content views. Other tie-ups OPPO and JD Beauty.
C020,qdc,,,audio_brand,CN,,,private,,,,,1,,lead_only,Chinese custom-IEM maker with Japanese IP (Idolmaster Cinderella Girls). Second custom-IEM-house participant besides ONKYO/FitEar.
C021,COVER Corp,カバー株式会社,COVER Corporation,talent_agency;ip_rightsholder,JP,Tokyo,,public,TSE,5253,,,0,https://hololivepro.com/,verified_primary,hololive production. THE ONLY rightsholder in either market that discloses a separate licensing revenue line - the single public window onto this market's licensing economics. FY end 03-31.
C022,ANYCOLOR,ANYCOLOR株式会社,ANYCOLOR Inc.,talent_agency;ip_rightsholder,JP,Tokyo,,public,TSE,5032,,,0,https://www.anycolor.co.jp/,verified_primary,Nijisanji. Four segments: live streaming; commerce; events; promotion. ~70% of revenue in commerce. NO separate licensing line disclosed so Nijisanji collab-earphone income is not separately observable. FY end 04-30. Reaches China via VirtuaReal in which it holds NO EQUITY.
C023,bilibili,哔哩哔哩,,platform;ip_rightsholder,CN,Shanghai,2009,public,HKEX;NASDAQ,9626;BILI,,,0,https://www.bilibili.com/,verified_primary,Owns MissEvan 猫耳FM and wholly owns VirtuaReal. An audio brand seeking a Nijisanji-China deal negotiates with bilibili not ANYCOLOR. Financials NOT YET PULLED.
C024,VirtuaReal,,上海萌电文化科技有限公司,talent_agency,CN,Shanghai,2019-04-19,subsidiary,,,bilibili,,0,,verified_secondary,Shanghai Mengdian Cultural Technology Co. Ltd. WHOLLY-OWNED BY BILIBILI; ANYCOLOR participates without holding equity. Chinese division of Nijisanji. VRP 48 active members / 27 generations; VirtuaReal Star 2; VirtuaReal Link 11. As of Jul 2026: 61 active members and 145.54 million cumulative bilibili followers. H1 2022 bilibili livestream revenue CNY 28.01 million - ranked #1 among agencies. NO hardware products documented. Entity name discrepancy: a search summary gave 上海梦典文化科技有限公司 - Wikipedia reading preferred pending registry check.
C025,774 inc.,ななしいんく,,talent_agency,JP,,,private,,,,,0,,verified_secondary,Nanashi Inc. Suou Patra's FORMER agency - she was leader of its unit Honey Strap and GRADUATED TO INDEPENDENT ON 2023-05-09. The 25000-unit 2nd installment went on pre-order 2023-08-20 so installments 2-5 are deals with an unaffiliated individual NOT an agency licence. Retail listings styled バーチャルYouTuber 774inc.×final date from the 1st installment only. CORRECTION: an earlier sweep recorded VOMS Project as her affiliation - that was WRONG.
C026,Suyama Dental Laboratory,株式会社須山歯研,,oem_codeveloper,JP,,,private,,,,,5,,verified_primary,FitEar. Japan's premier custom-IEM house. Co-developed the ONKYO Girls Band Cry custom IEM line (K1/K2/K3) - the only genuine high-end hi-fi product in the collab market.
C027,Yostar,,,game_publisher,JP,Tokyo,,private,,,,,3,,verified_secondary,Blue Archive publisher. Partnered with final on the COTSUBU for ASMR Blue Archive editions and with AVIOT on TE-V1R-BLA.
C028,Sanrio,株式会社サンリオ,Sanrio Company Ltd.,ip_rightsholder,JP,Tokyo,1960,public,TSE,8136,,,6,https://www.sanrio.co.jp/,verified_secondary,Licensor for Kuromi; Cinnamoroll; Kiki & Lala across AVIOT; Zeeny; Hi-Unit. Financials NOT PULLED.
C029,miHoYo,米哈游,,game_publisher,CN,Shanghai,2011,private,,,,,1,,verified_secondary,HoYoverse. Honkai: Star Rail - the Moondrop Robin collab.
C030,Kuro Games,库洛游戏,,game_publisher,CN,Guangzhou,,private,,,,,1,,verified_secondary,Wuthering Waves - the Moondrop U.C.T.S. collab.
C031,Sunborn,散爆网络,,game_publisher,CN,,,private,,,,,2,,verified_secondary,Girls' Frontline 1 and 2 - two Moondrop collabs.
C032,729 Sound Studio,729声工场,,audio_drama_producer,CN,,,private,,,,,0,,verified_secondary,Produced the Sha Po Lang audio drama whose Modian merchandise crowdfunding raised CNY 7.71 million from ~15100 backers - the domestic record. Reward tiers contained NO audio hardware.
C033,FiiO,飞傲,,audio_brand,CN,Guangzhou,2007,private,,,,,0,,verified_primary,SEARCHED - NO talent or IP collab found. Established CN hi-fi brand absent from the collab market.
C034,Shanling,山灵,深圳山灵数码科技发展有限公司,audio_brand,CN,Shenzhen,,private,,,,,0,https://shanling.com/,verified_primary,SEARCHED - NO talent or IP collab found.
C035,HiFiMAN,,,audio_brand,CN,,,private,,,,,0,,verified_primary,SEARCHED - NO talent or IP collab found.
C036,7Hz,七赫兹,,audio_brand,CN,,,private,,,,,0,,verified_primary,SEARCHED - NO talent or IP collab found.
C037,KZ,,,audio_brand,CN,,,private,,,,,0,,verified_primary,SEARCHED - NO talent or IP collab found.
C038,TinHiFi,,,audio_brand,CN,,,private,,,,,0,,verified_primary,SEARCHED - NO talent or IP collab found.
C039,DUNU,达音科,,audio_brand,CN,,,private,,,,,0,,verified_primary,SEARCHED - NO talent or IP collab found.
C040,Letshuoer,铄耳,,audio_brand,CN,,,private,,,,,0,,verified_primary,SEARCHED - NO talent or IP collab found.
C041,radius,,,audio_brand,JP,,,private,,,,,0,,verified_primary,SEARCHED - NO talent or IP collab found.
C042,NUARL,,,audio_brand,JP,,,private,,,,,0,,verified_primary,SEARCHED - NO talent or IP collab found.
C043,Acoustune,,,audio_brand,JP,,,private,,,,,0,,verified_primary,SEARCHED - NO talent or IP collab found.
C044,Aoni Production,青二プロダクション,株式会社青二プロダクション,talent_agency,JP,Tokyo,1969,private,,,,,0,https://www.aoni.co.jp/,verified_secondary,LARGEST JAPANESE VOICE AGENCY. Roster reported as 492 by one source and 400+ by another - UNRECONCILED. Operates its own training school 青二塾. Strong in dubbing narration and major anime roles. SEARCHED FOR AUDIO HARDWARE COLLABS - NONE FOUND.
C045,Mausu Promotion,マウスプロモーション,株式会社マウスプロモーション,talent_agency,JP,Tokyo,,private,,,,,0,https://mausu.net/,verified_secondary,~155 talents registered. Strong in foreign-film dubbing and narration. Has an attached actor training school. SEARCHED - NO AUDIO HARDWARE COLLAB FOUND.
C046,I'm Enterprise,アイムエンタープライズ,株式会社アイムエンタープライズ,talent_agency,JP,Tokyo,,private,,,,,0,,verified_secondary,100+ voice actors at roughly 3 male to 7 female. Strong in young popular talent and lead roles. SEARCHED - NO AUDIO HARDWARE COLLAB FOUND.
C047,81 Produce,81プロデュース,株式会社81プロデュース,talent_agency,JP,Tokyo,1981,private,,,,,0,https://www.81produce.co.jp/,verified_secondary,The pioneer voice production - founded 1981 by former Aoni staff. NOTABLY ALSO DOES 音響・イベント制作 (audio and event production) IN-HOUSE and still has no earphone product. Roster size NOT FOUND. President 南沢道義 has publicly discussed expanding the voice actor business.
C048,Kiramune,Kiramune,,music_label,JP,Tokyo,2009-04,subsidiary,,,Bandai Namco Music Live and Bandai Namco Filmworks,,13,https://kiramune.jp/,verified_primary,MALE SEIYUU LABEL - THE ROUTE BUYERS USE TO REACH SEIYUU. 20 members in 5 units as of 2026. Name coined from kirakira + community + music. Activities beyond records: Kiramune Music Festival (キラフェス) and reading/drama stage shows (リーディングライブ). CORRECTION - earlier sources credited Lantis and Bandai Namco Arts; Bandai Namco Arts was SPLIT into Music Live and Filmworks so those are the current operators. AVIOT TE-D01v-KRM covered 13 of the then-current members.
C049,Bandai Namco Music Live,バンダイナムコミュージックライブ,株式会社バンダイナムコミュージックライブ,music_label,JP,Tokyo,,subsidiary,,,Bandai Namco Holdings,,0,https://www.bandainamcomusiclive.co.jp/,verified_secondary,Music label and management arm under Bandai Namco Holdings producing anime game and seiyuu music. Co-operator of Kiramune. Successor to part of Bandai Namco Arts which absorbed Lantis.
C050,Bandai Namco Filmworks,バンダイナムコフィルムワークス,株式会社バンダイナムコフィルムワークス,ip_rightsholder,JP,Tokyo,,subsidiary,,,Bandai Namco Holdings,,0,,verified_secondary,Co-operator of Kiramune. Successor to part of Bandai Namco Arts.
C051,viviON,株式会社viviON,株式会社viviON,talent_agency;platform,JP,Tokyo,,private,,,,,0,,verified_secondary,DLSITE'S PARENT GROUP. Operates the VTuber group Aogiri High School - acquired from Brave Group in April 2023. Also acquired the Vebop Project agency business from REALITY Studios. STRUCTURALLY SIGNIFICANT - the doujin voice-work platform behind the LUKLUK Aoharu01 ASMR earphone and a 1-million-subscriber VTuber agency share one owner.
C052,Brave group,ブレイブグループ,株式会社Brave group,talent_agency,JP,Tokyo,,private,,,,,0,,verified_secondary,Operates IP Production (VTuber) IP Platform and IP Solution domestically and overseas. Supports Neo-Porte. Formerly operated Aogiri High School until April 2023.
C053,Hunan Satellite TV,湖南卫视,,tv_network;ip_rightsholder,CN,Changsha,,state_owned,,,,,1,,verified_secondary,Rightsholder of the music competition programme 歌手 Singer - the Moondrop Singer collab. NEW PARTNER CLASS tv programme.
C054,Bunka Broadcasting,文化放送,株式会社文化放送,radio_network;ip_rightsholder,JP,Tokyo,1951,private,,,,,1,,verified_primary,Radio network. Its subsidiary 文化放送エクステンド is the named BROKER bridging the audio and voice-actor industries per the Toyo Keizai analysis. Its programme A&G NEXT STEP HOOOOPE! is itself an AVIOT collab SKU and AVIOT runs a sponsored segment inside the same show.
C055,SKULLCANDY,,,audio_brand,US,,,private,,,,,0,,lead_only,NAMED by a Japanese retailer alongside Moondrop qdc ANIMA and AVIOT as a collaboration-earphone maker. NO SKU IDENTIFIED AND NOT VERIFIED - lead only.
C056,radius,ラディウス,ラディウス株式会社,audio_brand,JP,Tokyo,1996,private,,,,,0,,verified_secondary,Japanese entity founded 1996; originally founded in California by a former Apple executive. Main brand Ne (New ear) with a Dolby Atmos distribution service. SEARCHED - NO TALENT OR IP COLLAB FOUND.
C057,Bandai Namco Holdings,株式会社バンダイナムコホールディングス,株式会社バンダイナムコホールディングス,ip_rightsholder;game_publisher;music_label,JP,Tokyo,1955,public,TSE,7832,,,4,https://www.bandainamco.co.jp/,verified_secondary,LARGEST ENTITY IN THE DATASET at JPY 1.348 trillion FY2026/3. Ultimate parent of Kiramune via Bandai Namco Music Live and Bandai Namco Filmworks. Also the Gundam and Idolmaster rightsholder. Q3 cumulative crossed JPY 1 trillion for the first time. Group strategy explicitly names strengthening licensing and live events plus global music expansion via Music Live and Udo Music Office.
C058,Square Enix Holdings,株式会社スクウェア・エニックス・ホールディングス,,ip_rightsholder;game_publisher,JP,Tokyo,,public,TSE,9684,,,0,https://www.hd.square-enix.com/,verified_secondary,Parent of Taito which ran the Groove Coaster x hololive earphones. FY2026/3 revenue 2976億円 -8.3% but operating profit +34.9%.
C059,Adways,株式会社アドウェイズ,株式会社アドウェイズ,ad_platform;talent_agency_parent,JP,Shinjuku Tokyo,,public,TSE Standard,2489,,,0,https://adways.net/,verified_secondary,LISTED PARENT OF 774株式会社 (ななしいんく). SMALLER THAN EITHER BIG-TWO VTUBER AGENCY at JPY 11.8bn guidance vs COVER 49.3bn and ANYCOLOR 55.7bn. Segments: Ad Platform (UNICORN AppDriver); Agency; Other (influencer marketing and sauna operations). VTUBER BUSINESS NOT SEPARATELY DISCLOSED so 774 inc. economics are invisible. Runs ななしいんく Amplify jointly with 774 and X.
C060,Neo-Porte,ネオポルテ,,talent_agency,JP,Tokyo,2021-10,subsidiary,,,Brave group,,1,https://neo-porte.jp/,verified_secondary,21-22 talents across generations 0-6. Run jointly by VTuber Shibuya Haru; pro gaming team Crazy Raccoon; and artists Mafumafu and Soraru. MERGED WITH BRAVE GROUP 2025-02-01. ONKYO shipped a Yozuna Niu model 2026-08-06/07 so this is an ACTIVE counterparty absent from the Q3 census. Revenue NOT FOUND.
C061,Onkyo Home Entertainment,オンキヨーホームエンターテイメント株式会社,オンキヨーホームエンターテイメント株式会社,audio_brand,JP,Higashiosaka,1946,defunct,,,,146,0,,verified_secondary,LEGACY ENTITY - NOT THE CURRENT ONKYO. Founded 1946 as 大阪電気音響社. Formed 2020-10-01 by merging Onkyo with Onkyo and Pioneer. FILED FOR BANKRUPTCY AT OSAKA DISTRICT COURT MAY 2022. Capital JPY 11.74bn. The currently active オンキヨー株式会社 (C002) is a THIRD-GENERATION legal entity - originally an OEM subsidiary made capital-independent via a MANAGEMENT BUYOUT and it does NOT carry the old debts. RESOLVES gap G030.
C062,Shueisha,集英社,株式会社集英社,ip_rightsholder;publisher,JP,Tokyo,1926,private,,,,,5,https://www.shueisha.co.jp/,verified_secondary,MOST-COLLABORATED PUBLISHER - rightsholder for Jujutsu Kaisen Gintama Haikyu Oshi no Ko and Prince of Tennis (five confirmed AVIOT franchises). 85th term revenue 2289億5400万円 -0.1%; net income 193億6100万円. 事業収入 (rights + merchandise) EXCEEDED 110億円 AND SURPASSED PUBLISHING SALES FOR THE FIRST TIME. Prior term rights and merch income +35.6%.
C063,Shogakukan,小学館,株式会社小学館,ip_rightsholder;publisher,JP,Tokyo,1922,private,,,,,3,https://www.shogakukan.co.jp/,verified_secondary,Rightsholder for Ranma 1/2 Frieren and Detective Conan. 88th term revenue 1035億6700万円 -5.5%; ordinary profit 22億9300万円 -53.0%. 87th term 版権収入等 157億2900万円 +26.8% driven by film and TV adaptations. Licenses jointly with Shueisha via ShoPro.
C064,Kodansha,講談社,株式会社講談社,ip_rightsholder;publisher,JP,Tokyo,1909,private,,,,,1,https://www.kodansha.co.jp/,verified_secondary,Rightsholder for Go-toubun no Hanayome. 87th term revenue 1691億6900万円 -1.1%. Revenue lines disclosed: products 430億 -8.6%; DIGITAL 861億 +8.0%; RIGHTS INCOME 285億4000万円 -11.8%; advertising 69億 -2.6%; real estate 30億. Operating profit 104億 -3.1%; net 111億8800万円 +19.4%.
C065,ShoPro,小学館集英社プロダクション,株式会社小学館集英社プロダクション,ip_rightsholder;licensing_agent,JP,Tokyo,,private,,,Shogakukan and Shueisha,,0,https://www.shopro.co.jp/,verified_secondary,THE JOINT LICENSING AND MERCHANDISING ARM OF SHOGAKUKAN AND SHUEISHA. FY2026/3 net income 24億1500万円 -9.6%. FOR AN ENTRANT SEEKING EITHER PUBLISHER IP THIS IS LIKELY THE ACTUAL DOOR rather than the publisher itself.
C066,Aniplex,アニプレックス,株式会社アニプレックス,ip_rightsholder;music_label,JP,Tokyo,1995,subsidiary,,,Sony Music Entertainment Japan,,1,https://www.aniplex.co.jp/,verified_secondary,FASTEST-GROWING RIGHTSHOLDER IN THE DATASET. FY2026/3 revenue 2115億9500万円 +45.1%; operating profit 390億8300万円 +62.2%; net 310億5800万円 +46.3%. FY2025/3 revenue 1458億3200万円 -3.5%. Classified under MUSIC not pictures within Sony which is why Sony group disclosures rarely surface it. Madoka Magica rightsholder - AVIOT TE-V1R-MMM.
C067,Toei,東映,東映株式会社,ip_rightsholder;film_studio,JP,Tokyo,1949,public,TSE,9605,,,3,https://www.toei.co.jp/,verified_secondary,TOKUSATSU RIGHTSHOLDER - Kamen Rider 555 Kamen Rider W and Super Sentai (three AVIOT SKUs incl TE-D01v-SSS at 27500 the tokusatsu high). FY2026/3 revenue 1853億3300万円 +3.0%; operating profit 360億9600万円 +2.7%. Five segments: visual (core - includes rights licensing); exhibition +33.0%; events +16.1%; tourism real estate; construction interior. NOT SPLIT BY IP.
C068,Toei Animation,東映アニメーション,東映アニメーション株式会社,ip_rightsholder;anime_studio,JP,Tokyo,1948,public,TSE,4816,,,1,https://www.toei-anim.co.jp/,verified_secondary,BEST LICENSING BENCHMARK IN THE PROJECT - a listed company where LICENSING IS THE MAJORITY OF REVENUE AND IS A DISCLOSED SEGMENT WITH FULL P&L. FY2026/3 revised guidance revenue 936億円 +6.4%; operating profit 310億円 +19.2%; net 250億円 +30.9%. 版権事業 segment 489億500万円 (~52% of revenue) from 505億8200万円. Upward revision driven by OVERSEAS licensing above plan. Digimon rightsholder.
C069,Tsuburaya Productions,円谷プロダクション,株式会社円谷プロダクション,ip_rightsholder,JP,Tokyo,1963,subsidiary,,,Tsuburaya Fields Holdings (TSE 2767),,1,,verified_secondary,Ultraman Z rightsholder - AVIOT TE-V1R-ULZ. FY2026/3 revenue 138億7000万円 -15.4%; operating profit 9億3000万円 -67.0%. Domestic grew on the Ultraman 60th anniversary and STRATEGIC COLLABORATIONS TO RAISE IP VALUE - language describing this category. Overseas fell as CHINA licensing declined when block-toy and trading-card partners revised ranges. Parent group Q3 revenue 1546億1700万円 +58.2% driven by pachinko not IP.
C070,KADOKAWA,KADOKAWA,株式会社KADOKAWA,ip_rightsholder;publisher;game_publisher,JP,Tokyo,1945,public,TSE,9468,,,3,https://www.kadokawa.co.jp/,verified_secondary,MOST PLAUSIBLE MAJOR COUNTERPARTY FOR A NEW CATEGORY - the largest Japanese IP holder currently in a licensing downturn. FY2026/3 revenue 2829億800万円 +1.8%; operating profit 81億200万円 -51.3%; net 12億7800万円 -82.7%. LICENSING INCOME -21.1%; anime and live-action segment SWUNG TO AN OPERATING LOSS on the Oshi no Ko prior-year comparison. Holds KonoSuba Overlord and Dungeon Meshi.
C071,Khara,カラー,株式会社カラー,ip_rightsholder;anime_studio,JP,Suginami Tokyo,2006-05-17,private,,,,,5,https://www.khara.co.jp/,verified_secondary,EVANGELION RIGHTSHOLDER - five confirmed SKUs (final four EVA2020 models plus AVIOT TE-V1R-EVA). Founded by 庵野秀明 Hideaki Anno as an independent break from Gainax. Directors incl Ogata Tomoyuki Tsurumaki Kazuya and Anno Moyoco. Stated business includes RIGHTS OWNERSHIP. FINANCIALS NOT PUBLIC. LICENSES VIA ITS SUBSIDIARY GROUNDWORKS NOT DIRECTLY.
C072,Groundworks,グラウンドワークス,株式会社グラウンドワークス,licensing_agent,JP,Tokyo,,subsidiary,,,Khara,,5,,verified_secondary,KHARA RIGHTS-MANAGEMENT SUBSIDIARY - THE ACTUAL EVANGELION LICENSING COUNTERPARTY. Its representative Kamimura Yasuhiro became director and president of Gainax after the Dec 2019 restructuring. PART OF A PATTERN - Japanese IP owners route licensing through dedicated entities (Khara to Groundworks; Shogakukan and Shueisha to ShoPro; Bunka Broadcasting to Bunka Broadcast Extend). AN ENTRANT APPROACHING THE CREATIVE COMPANY IS AT THE WRONG DOOR.
C073,COLOPL,コロプラ,株式会社コロプラ,game_publisher;ip_rightsholder,JP,Tokyo,2008,public,TSE,3668,,,2,https://colopl.co.jp/,verified_secondary,Shironeko Project rightsholder - two ONKYO SKUs. FY2026/9 H1 revenue 100億8800万円 -28.2%; operating profit 5億3300万円 -62.3%. Entertainment segment 98億2000万円 -18.2% with operating profit 6億5500万円 returned to profit. Shironeko standalone revenue NOT DISCLOSED; third-party estimate ~4077万円 monthly gross May 2026.
C074,Broccoli,ブロッコリー,株式会社ブロッコリー,ip_rightsholder;game_publisher,JP,Tokyo,1994,private,,,,,3,https://www.broccoli.co.jp/,verified_secondary,Uta no Prince-sama rightsholder - THREE AVIOT SKUs (TE-V1R-UST UQN UHV) SOLD THROUGH BROCCOLI ONLINE RATHER THAN AVIOT ONLINE MALL - the only such channel exception found. Reference FY2019/2 revenue 59億7500万円 +10.4% with Uta no Prince-sama MORE THAN HALF of it; the franchise has been valued at 100-300億円. Later periods volatile.
C075,Nitroplus,ニトロプラス,株式会社ニトロプラス,ip_rightsholder;game_publisher,JP,Tokyo,2000,subsidiary,,,CyberAgent (TSE 4751),,3,https://www.nitroplus.co.jp/,verified_secondary,SUPER SONICO RIGHTSHOLDER - three Zeeny SKUs. FY2023/8 revenue 40億円; net income 6億2300万円. CYBERAGENT ACQUIRED 72.5% ON 2024-07-01 FOR JPY 16.7bn so the counterparty is now effectively CyberAgent. Business model is licensing fees on own content plus production-committee rights. Super Sonico originated as the image character for the NITRO SUPER SONIC live event.
C076,Axis,エイシス,株式会社エイシス,platform,JP,Tokyo,,subsidiary,,,viviON,694,1,https://www.dlsite.com/,verified_secondary,OPERATES DLSITE. Employee figure 694 is the viviON GROUP total as of March 2025. DLsite revenue has grown for 24 CONSECUTIVE YEARS. The voice/ASMR segment generates ~85億円 from ~1.1 million annual purchasers - THE FIGURE THAT SIZES THE JAPANESE ASMR CONTENT MARKET.
C077,Bandai Namco Filmworks,バンダイナムコフィルムワークス,株式会社バンダイナムコフィルムワークス,ip_rightsholder;anime_studio;licensing_agent,JP,Tokyo,2022-04,subsidiary,,,Bandai Namco Holdings,,0,,verified_secondary,CO-OPERATOR OF KIRAMUNE with Bandai Namco Music Live. Formed April 2022 with SUNRISE AS THE SURVIVING ENTITY absorbing Bandai Namco Arts visual business and Bandai Namco Rights Marketing. Core company of the group IP Produce unit. Stated business includes COPYRIGHT AND RIGHTS MANAGEMENT. Formerly Bandai Visual on the Kiramune lineage. Net income FY2024/3 39億7000万 -25.6%; FY2025/3 59億600万 +48.8%; FY2026/3 33億1900万 -43.8%.
