series,item,metric,value,unit,label,source_url
cn_demo,use5h,share,38.38,percent,日均使用5小时以上,https://www.douban.com/note/873735750/
pv_site,アニメイトタイムズ,pv_wan,2416,万/月,2025-09 实测,https://media-radar.jp/detail6638.html
pv_site,アニメイトタイムズ,uu_wan,1069,万/月,2025-09 实测,https://media-radar.jp/detail6638.html
cert,cn_srrc,weeks,8,周,含测试全流程约8周 有效期5年 现行不收费,https://www.52audio.com/archives/12793.html
cert,cn_ccc,weeks,5,周,4-6周 最多两个月,http://cqa-cert.com/xwzx/info_30_itemid_2497.html
cert,jp_giteki,weeks,4,周,有案例约1个月 需无线测试样机 TELEC等登录机关,https://www.telec.or.jp/services/tech/
cert,jp_pse,weeks,0,周,自2019-02-01起为强制前提 非周期项,https://www.meti.go.jp/policy/consumer/seian/denan/mlb_faq.html
resale,aucfan_30d,deals,5,笔,检索词 コラボイヤホン 近30日成交,https://aucfan.com/intro/q-~a5b3a5e9a5dca5a4a5e4a5dba5f3/
resale,aucfan_30d,avg_price,11883,日元,近30日均价,https://aucfan.com/intro/q-~a5b3a5e9a5dca5a4a5e4a5dba5f3/
photobook,佐倉綾音,copies,10712,册,Oricon 累计口径 女性声优写真集第一,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14257125974
photobook,水樹奈々,copies,5664,册,Oricon 累计口径 第二,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14257125974
photobook,生田絵梨花_对照,copies,178688,册,顶级偶像写真集首周 量级对照,https://the0ries.com/nshphotobook/
pv_site,アニメイトタイムズ,pv_wan_alt,2818,万/月,PC+SP 合计口径 较早期间,https://www.animatetimes.com/ad/
pv_site,アニメイトタイムズ,uu_wan_alt,1214,万/月,PC+SP 合计口径 较早期间,https://www.animatetimes.com/ad/
pv_site,アニメイトタイムズ,twitter_followers,670000,人,官方推特 2023-04,https://www.animatetimes.com/ad/
pv_site,アニメイトタイムズ,age_25_34,31,percent,受众 25-34 岁占比,https://media-radar.jp/detail6638.html
