gap_id,entity_type,entity_id,entity_name,field,status,priority,searches_attempted,explanation,date
G035,company,C001,Preseed Japan / AVIOT,collab_vs_noncollab_volume_split,not_disclosed,high,"Dengeki Online product release; AVIOT press pages; Toyo Keizai interview","The Q-series cumulative figure of 250000 units (May 2024) mixes collab and non-collab volume across at least 8 confirmed collab SKUs on that platform. The split is not disclosed and CANNOT be derived. Do not apportion it.",2026-09-07
G036,company,C001,Preseed Japan / AVIOT,cumulative_shipments_post_2021,not_found,medium,"AVIOT news page; PR Times AVIOT keyword feed; Wikipedia; JP searches for 150万台","Only the April 2021 figure of 830000 units was located and it is tier-6 sourced. A 1.5 million unit figure appeared in one unreliable summary and is NOT asserted anywhere in this dataset. No post-2021 milestone press release found.",2026-09-07
G037,product,P0094,MOONDROP Robin,marketplace_unit_counters,not_found,medium,"JD product search (returns 暂无相关商品); Tmall; Douyin; SMZDM; Hupu","The only unit figures are from a tier-6 Hupu forum post (~20000 across three platforms around Oct 2024). The product is now delisted from JD so live counters cannot be re-checked. All other CN collab SKUs have no counters retrieved.",2026-09-07
G038,market,,Japan,market_size_in_units,not_found,medium,"GfK Japan; JEITA; BCN research page (404); smhn.info (403); JP market report aggregators","Japan headphone market located only as a USD value from third-party research. No free unit-volume figure from GfK or JEITA located. The BCN percentages in the dataset come from search-surfaced summaries because the source page 404s.",2026-09-07
G039,market,,both markets,collab_price_premium_measured,partial,medium,"auction commentary; SKU price comparison across products.csv","Auction-market commentary claims collab models run ~20% above the base product but that is commentary not measurement. Only ONE case in the dataset has both collab and base prices sourced - MOONDROP RAYS AG at +10.0%. Most collab SKUs have no matched base-SKU price so the premium cannot be tested at scale.",2026-09-07
G040,product,P0115,ONKYO Kagura Mea CP-TWS01E,price_value,not_found,medium,"FISTBUMP article; ONKYO DIRECT collab index","Order window is currently open (to 2026-10-09 15:00) but the article does not state a price and ONKYO does not publish prices on its collab index page. Retrievable now by walking the live ONKYO DIRECT product page.",2026-09-07
G041,product,P0152,AVIOT TE-Q3-NA2,partner_name,not_found,medium,"AVIOT catalogue page 4 (partner rendered as N/A)","Partner identity unresolved. Price of JPY 5980 is anomalously low for an AVIOT collab - roughly half the base TE-Q3 member price - which may indicate a clearance item or a mis-categorised non-collab product. Needs a direct product-page read.",2026-09-08
G042,product,,AVIOT TE-D01v base platform,price_value,not_found,medium,"AVIOT catalogue pages 1-12; TE-D01v-SGR product page","Base price for the TE-D01v platform not found - it may be discontinued as a standalone. Without it the collab premium cannot be computed for the ~8 TE-D01v collab SKUs including Kiramune Super Sentai Code Geass KonoSuba Monogatari SAO and Shigure Ui.",2026-09-08
G043,market,,hololive,jp_branch_absence_from_AVIOT,not_found,medium,"AVIOT hololive collection page; AVIOT full catalogue; hololivepro news","OBSERVED PATTERN CAUSE NOT EVIDENCED. Four hololive ENGLISH unit SKUs exist via AVIOT and zero hololive JAPAN generation SKUs. JP talents instead appear on Taito/Cafereo Groove Coaster earphones and Hoshimachi Suisei on ONKYO ANIMA. Looks like deliberate channel allocation by COVER but no source states this.",2026-09-08
G044,partner,,all partners except Patra and Aogiri,audience_size,not_found,medium,"partner-level searches deferred","Audience metrics collected for only 2 of ~56 partners (Suou Patra ~660000 at 2023-05; Aogiri High School 1000000 at 2024-04-27). Systematic follower/subscriber collection deferred to Q4 which covers the resource base of collab targets.",2026-09-08
G045,product,,AVIOT catalogue pages 1-2,collab_rows,partial,low,"shop.aviot.jp/collections/all pages 1 and 2","Both pages were truncated on automated fetch. Base-model prices were captured but some collaboration rows on those pages may remain unseen. AVIOT collab SKU count of 60+ should be treated as a floor.",2026-09-08
G046,company,,81 Produce and Aoni Production,reason_for_absence,not_found,medium,"targeted searches for both agencies plus audio/earphone/goods terms","Neither agency has any audio hardware collaboration. Whether they DECLINE such deals or are simply unapproached is NOT EVIDENCED either way. Material because it determines whether the music-label route is a workaround or the only available path.",2026-09-08
G047,company,,81 Produce and Aoni Production,reason_for_absence,not_found,high,"targeted searches for all four major agencies plus audio earphone goods and hardware terms; 81 Produce corporate site; Bunka Tsushin interview with its president","HIGHEST-VALUE UNKNOWN IN THE AGENCY LAYER. The four largest seiyuu agencies control ~750+ voice actors (Aoni ~492; Mausu ~155; I m Enterprise 100+) and NOT ONE has a hardware collaboration. 81 Produce even does audio and event production in-house. Whether they DECLINE these deals or are simply UNAPPROACHED is not evidenced either way. Determines whether the music-label route is a workaround or the only door. Supersedes G046.",2026-09-08
G048,product,,Zeeny collaboration prices,price_value,not_found,medium,"zeeny.com collab index pages 1-3","Zeeny does not display prices on its collection pages and every page-1 item shows sold out. Only 4 of 17 Zeeny SKUs have a price from external reporting. Pages 2-3 are JS-rendered and returned no product data so the 17-SKU count is a FLOOR.",2026-09-08
G049,company,C055,SKULLCANDY,collab_sku,not_found,medium,"named in a Japanese retailer ranking alongside Moondrop qdc ANIMA and AVIOT","Named as a collaboration-earphone maker but NO SKU partner or price identified. The only unverified seller lead remaining in the dataset.",2026-09-08
G050,product,P0196,ONKYO AOW03 Expelled from Paradise,all_fields,not_found,low,"ONKYO DIRECT product page","Product page returns HTTP 404. Confirmed to exist via search index only. Notable as an ONKYO collab HEADPHONE rather than earphone.",2026-09-08
G051,product,,Sony Bocchi 1st and 3rd wave,price_value,not_found,medium,"Sony Store press releases; Sony Walkman collab page; community trackers","2nd wave fully priced. 1st wave (Walkman NW-A306 and NW-ZX707 March 2024) and 3rd wave (announced for winter 2024) prices not retrieved.",2026-09-08
G052,product,,TOoKA BASE full SKU list,model_codes,partial,medium,"tookabase-official.com; tookabase.com shop; PR Times Universal feed","~30 collab SKUs identified with prices but most lack model codes and exact release dates. The official shop was not walked page by page as AVIOT was. Count is a floor.",2026-09-08
G053,company,C044,Aoni Production,roster_size,conflicting_sources,low,"talent-dictionary.com; agency site; Deview","Reported as 492 by one source and 400+ by another. Both recorded; unreconciled.",2026-09-08
G054,company,C021,COVER Corp,holostars_roster,conflicting_sources,low,"holostars roster trackers","JP 12 + EN 10 as of April 2026 versus 18 total mid-June 2026. Dates differ so both may be correct at their respective times; not reconciled.",2026-09-08
G055,company,C047,81 Produce,roster_size,not_found,medium,"81produce.co.jp; talent databases","Roster size not found for the one major agency where it is missing. The ~750 combined-pool figure is therefore a FLOOR excluding 81 Produce.",2026-09-08
G056,company,C007,Universal Music (TOoKA BASE),current_category_activity,not_found,high,"tookabase.com news list Nov 2025 to Jul 2026; tookabase-official.com; PR Times Universal feed","RECENCY FINDING - TOoKA BASE APPEARS DORMANT IN THIS CATEGORY. Its ~29 collab SKUs are almost all 2021-2022. All news items from Nov 2025 to Jul 2026 concern PEOPLE 1 band merchandise (apparel bags keychains) with NO voice actor or anime collaboration earphone announcements. The second-largest seller by SKU count is therefore likely a HISTORICAL player not a current competitor. Treat its SKUs as historical unless a 2025-2026 release is found.",2026-09-08
G057,product,,products.csv date coverage,announce_date;release_date,partial,high,"AVIOT press archive (recovered 15 dates); AVIOT news; catalogue index pages carry no dates","DATE COVERAGE IS 45% (102 of 224 rows) after backfilling from the AVIOT press archive. The remaining ~122 undated rows are mostly TOoKA BASE 2021-era stock and ONKYO/Zeeny SKUs whose index pages omit dates. WITHOUT DATES THE CLIENT RECENCY PRIORITY CANNOT BE ENFORCED IN THE DATA. Next step is walking ONKYO DIRECT and Zeeny individual product pages plus the Zeeny PR Times feed.",2026-09-08
G058,product,P0017,AVIOT TE-V1R-JK,superseded_row,conflicting_sources,low,"AVIOT press archive; PHILE WEB; AV Watch","P0017 records a single Jujutsu Kaisen SKU. The actual structure is THREE models (JK1 JK2 JK3) recorded as P0222-P0224. P0017 should be treated as superseded and excluded from counts to avoid double-counting.",2026-09-08
G059,product,,AVIOT Uta no Prince-sama trio,price_value,not_found,medium,"PR Times release 000000285.000027368; Broccoli Online","Three SKUs (UST UQN UHV) confirmed with a 2025-12-25 preorder date but no price retrieved. Notable as the only AVIOT collab sold through the IP owner store (Broccoli Online) rather than AVIOT ONLINE MALL.",2026-09-08
G060,product,,AVIOT Piyahon series installments 1-6 and 8,all_fields,not_found,medium,"shop.aviot.jp/collections/pnk located but not walked","The Piyahon series has reached installment 9 and only installments 7 and 9 are captured with prices. Installments 1-6 and 8 are unidentified. THE LONGEST-RUNNING COLLAB SERIES IN THE DATASET is therefore only partially documented. The dedicated collection page exists and should be walked.",2026-09-08
G061,company,C002,Onkyo,corporate_structure,resolved,low,"Wikipedia Onkyo and Onkyo Home Entertainment; audio-kaitori-site analysis","RESOLVED - supersedes G030. The legacy Onkyo Home Entertainment (founded 1946 as Osaka Denki Onkyosha; merged with Onkyo and Pioneer 2020-10-01) FILED FOR BANKRUPTCY MAY 2022 at Osaka District Court with 146 employees and JPY 11.74bn capital. The currently active Onkyo Corporation is a THIRD-GENERATION entity - originally an OEM subsidiary made capital-independent by a MANAGEMENT BUYOUT which does not carry the old debts.",2026-09-09
G062,company,,COVER and ANYCOLOR,employee_headcount,not_found,medium,"Nikkei company profiles; Strainer; SalesNow; IR presentations located but not read","Talent counts obtained (COVER 78; ANYCOLOR ~150-180) but EMPLOYEE headcount not found for either. Needed to assess licensing-desk capacity - i.e. how many deals each can process.",2026-09-09
G063,company,C059,Adways,vtuber_segment_revenue,not_disclosed,medium,"Adways IR; Matsui; Yahoo Finance; Minkabu; buffett-code","STRUCTURAL. 774 inc. sits inside Adways Other segment alongside influencer marketing and sauna operations. VTuber revenue is not broken out so 774 inc. economics are invisible - the same problem as ANYCOLOR licensing but one level up.",2026-09-09
G064,company,C029,miHoYo,audited_financials;employees,not_found,medium,"CN financial press; 36kr; Sina; ChinaVenture; Wikipedia","Private company. The CNY 78bn 2025 revenue and CNY 28bn Honkai Star Rail figures are ANALYST ESTIMATES not disclosures. The ~CNY 42.9bn net profit rests on an ASSUMED 55% margin and should not be cited as fact. Employee count not found.",2026-09-09
G065,company,C051,viviON,revenue_after_FY2023,not_found,medium,"vivion.jp news; gamebiz; netkeizai; Otaku Soken","Revenue series runs FY2021 354億 to FY2022 454億 to FY2023 529億 then stops. No FY2024 FY2025 or FY2026 figure found. The DLsite voice/ASMR segment figure of ~85億 also lacks a stated year.",2026-09-09
G066,company,C027,Yostar,company_revenue,not_found,medium,"yostar.co.jp; gamebiz; Wikipedia; Sensor Tower reporting","Only TITLE-level revenue found (Blue Archive >USD 240mn cumulative to Jan 2023 with Japan at 75%). No company-level revenue for the Japanese entity or the Shanghai parent. Notable because Yostar is the most-collaborated rightsholder in the dataset with four audio collabs.",2026-09-09
G067,company,,Khara,all_fields,not_found,low,"not researched","Evangelion rightsholder for the final EVA2020 four-SKU line and the AVIOT TE-V1R-EVA. Not researched at all.",2026-09-09
G068,company,C002,Onkyo,revenue_and_headcount,not_found,medium,"DreamNews releases; onkyo.net; NIKKEI COMPASS","The current post-MBO Onkyo entity has no published revenue or headcount. Only the derived category figure of ~JPY 1.8-2.2bn from 100000 units at the observed price band. Material because ONKYO is the second-most-active collab operator.",2026-09-09
G069,company,C060,Neo-Porte and Brave group,revenue,not_found,medium,"PR Times Brave group; Denfaminicogamer; KAI-YOU; user local","Neo-Porte has 21-22 talents and merged into Brave group 2025-02-01. Brave group also holds VSPO! and HIMEHINA. NO revenue figure found for either. Brave group is now a confirmed active counterparty via the ONKYO Yozuna Niu model.",2026-09-09
G070,company,,Q4 scope,chinese_entities_removed,resolved,low,"client instruction 2026-09-09","Q4 was rescoped to JAPANESE COMPANIES ONLY per client instruction. bilibili miHoYo and other Chinese entities were removed from the Q4 deliverable. Their financial rows REMAIN VALID in financials.csv as market context for Q1-Q3 (bilibili owns MissEvan; miHoYo is Moondrop Honkai Star Rail licensor) but are excluded from the Q4 counterparty analysis. The superseded file Q4-the-companies-behind-the-collab-targets.md was deleted.",2026-09-09
G071,company,C067,Toei,segment_split_by_ip,not_disclosed,medium,"Toei tanshin and IR presentations","Toei discloses five segments but NOT by IP. Kamen Rider and Super Sentai licensing sits inside 映像関連事業 with no franchise-level breakout. So the tokusatsu licensing economics behind three AVIOT SKUs cannot be sized.",2026-09-09
G072,company,C028,Sanrio,licensing_split_from_merchandise,not_disclosed,medium,"Sanrio FY2026/3 tanshin and gamebiz segment reporting","Merchandise sales AND licensing are reported COMBINED at 90.3% of revenue. The licensing-only figure is not separable so Sanrio royalty scale cannot be inferred despite it being the most promiscuous licensor in the dataset.",2026-09-09
G073,company,C070,KADOKAWA,licensing_income_absolute,not_disclosed,medium,"KADOKAWA FY2026/3 results reporting","Only the MOVEMENT is given (-21.1%). No absolute licensing revenue figure. Material because KADOKAWA is identified as the most plausible major counterparty for a new category precisely on the strength of that decline.",2026-09-09
G074,company,C068,Toei Animation,fy2026_confirmed_actuals,partial,medium,"gamebiz revision report; tanshin and supplementary data PDFs located","The revenue 936億 and operating profit 310億 figures used are REVISED GUIDANCE not confirmed actuals. The 版権事業 segment figure of 489億500万 comes from the supplementary data PDF. Both should be re-read from the confirmed tanshin.",2026-09-09
G075,company,C076,Axis and DLsite,voice_asmr_segment_year,not_found,medium,"viviON corporate blog","The ~85億円 voice/ASMR segment figure and the ~1.1 million annual purchasers figure are stated WITHOUT A FISCAL YEAR. This is the figure that sizes the Japanese ASMR content market and underpins the ASMR opportunity thesis so the missing date is material.",2026-09-09
G076,company,C074,Broccoli,current_revenue,not_found,medium,"gamebiz quarterly reports; Animation Business Journal","Latest clean full-year figure is FY2019/2 at 59億7500万円. Recent periods only appear as partial quarterly cumulatives (FY2023/2 Q3 36億6300万 -22.5%). Broccoli holds Uta no Prince-sama - three AVIOT SKUs - so its current scale is a real gap.",2026-09-09
G077,company,C071;C072,Khara and Groundworks,financials,not_found,low,"khara.co.jp; Baseconnect; Wikipedia","Both private with no published financials. Khara is the Evangelion rightsholder behind five confirmed SKUs and Groundworks is the actual licensing counterparty. No revenue or headcount available for either.",2026-09-09
G078,company,C054,Bunka Broadcasting,revenue,not_found,medium,"joqr.co.jp corporate profile; NIKKEI COMPASS; media kit","Private radio company; revenue not found. Material because its subsidiary Bunka Broadcast Extend is the named BROKER bridging the audio and voice-actor industries and its A&G block (~30 terrestrial plus ~100 internet programmes) is the relationship infrastructure AVIOT used.",2026-09-09
