source_id,url,publisher,publisher_type,doc_type,language,reliability_tier,retrieved_date,topic
S025,https://www.4gamer.net/games/999/G999902/20260513044/,4Gamer,trade_press,article,ja,4,2026-09-07,ONKYO Nijisanji Usami Lito and Saeki Ittetsu 18000 JPY
S026,https://www.phileweb.com/news/d-av/202503/13/62267.html,PHILE WEB,trade_press,article,ja,4,2026-09-07,ONKYO Nijisanji Koyanagi Rou and Hoshidou Shou 18000 JPY 11 words
S027,https://www.dreamnews.jp/press/0000306512/,ONKYO via DreamNews,brand_official,press_release,ja,1,2026-09-07,ONKYO Nijisanji Kanae fully made-to-order
S028,https://onkyoanime.com/info/5950233,ONKYO Oto-Ani,brand_official,press_release,ja,1,2026-09-07,Nijisanji Kanae model
S029,https://onkyoanime.com/info/6712614,ONKYO Oto-Ani,brand_official,press_release,ja,1,2026-09-07,Nijisanji Hiyahachi Mana model
S030,https://onkyodirect.jp/shop/g/gMO1_SUZUTUKI1AOW04W/,ONKYO,brand_official,product_page,ja,1,2026-09-07,AOW04 Suzutsuki Sui model
S031,https://onkyodirect.jp/shop/g/gMO1_KANAN1AOW04B/,ONKYO,brand_official,product_page,ja,1,2026-09-07,AOW04 Kanan-sama model
S032,https://onkyodirect.jp/shop/pages/MONO_EARPHONE.aspx,ONKYO,brand_official,product_page,ja,1,2026-09-07,AOW04 MONO anime model
S033,https://onkyoanime.com/info/6127457,ONKYO Oto-Ani,brand_official,press_release,ja,1,2026-09-07,AOW04 MONO limited-period order
S034,https://hobby.dengeki.com/news/2551734/,Dengeki Hobby,trade_press,article,ja,4,2026-09-07,ONKYO AOW04 Makeine Yanami Anna voice
S035,https://www.anima-audio.jp/,ONKYO,brand_official,brand_site,ja,1,2026-09-07,ANIMA brand site
S036,https://onkyoanime.com/,ONKYO,brand_official,retail_site,ja,1,2026-09-07,Oto-Ani Akihabara anime-audio store
S037,https://prtimes.jp/main/html/rd/p/000000010.000121822.html,final Inc. via PR Times,brand_official,press_release,ja,1,2026-09-07,COTSUBU ASMR Patra BLACK - 10000 units in 12 hours; 8200 JPY; 25000 allocation; full spec
S038,https://prtimes.jp/main/html/rd/p/000000009.000121822.html,final Inc. via PR Times,brand_official,press_release,ja,1,2026-09-07,COTSUBU ASMR Patra BLACK detail announcement
S039,https://prtimes.jp/main/html/rd/p/000000224.000121822.html,final Inc. via PR Times,brand_official,press_release,ja,1,2026-09-07,ZE500 for ASMR CyberPatra 5th installment 10800 JPY ASMRPort two ASMR modes
S040,https://www.phileweb.com/news/d-av/202308/22/58764.html,PHILE WEB,trade_press,article,ja,4,2026-09-07,COTSUBU Patra 2nd wave sell-out. CAUTION: automated read misparsed 台 (units) as yen
S041,https://news.yahoo.co.jp/articles/6041124b644900da4e5a0cc690cc0370a0b23410,PHILE WEB via Yahoo,trade_press,article,ja,4,2026-09-07,25000 units within-year allocation sold out
S042,https://panora.tokyo/archives/70813,PANORA,trade_press,article,ja,4,2026-09-07,COTSUBU Patra BLACK full spec QCC3040 14 voices bundle contents
S043,https://panora.tokyo/archives/69124,PANORA,trade_press,article,ja,4,2026-09-07,COTSUBU Patra 1st installment 1000-unit final restock
S044,https://av.watch.impress.co.jp/docs/news/1495782.html,AV Watch,trade_press,article,ja,4,2026-09-07,COTSUBU Patra 1st installment 400-slot handover event
S045,https://av.watch.impress.co.jp/docs/news/2087560.html,AV Watch,trade_press,article,ja,4,2026-09-07,VR1000 for ASMR 4th installment general sale; 3rd installment re-release
S046,https://www.phileweb.com/news/d-av/202602/20/64611.html,PHILE WEB,trade_press,article,ja,4,2026-09-07,VR1000 for ASMR Patra general retail launch
S047,https://www.moguravr.com/suo-patra-final-vr1000-asmr/,Mogura VR,trade_press,article,ja,4,2026-09-07,VR1000 for ASMR Patra spec and ASMR sound design
S048,https://kakaku.com/item/J0000049958/,Kakaku.com,retailer,listing,ja,4,2026-09-07,final VR1000 for ASMR price comparison
S049,https://e-earphone.blog/?p=1541653,e-earphone,retailer,article,ja,4,2026-09-07,VR1000 for ASMR Patra launch 5980 JPY spec
S050,https://www.phileweb.com/news/d-av/202608/10/65741.html,PHILE WEB,trade_press,article,ja,4,2026-09-07,ZE500 CyberPatra 5th installment order sale
S051,https://premium.gamepedia.jp/hobby/archives/225613,Chara Hobby,general_press,article,ja,5,2026-09-07,ZE500 CyberPatra pre-order and bonus info
S052,https://www.appbank.net/2026/08/11/youtubernews/3076151.php,AppBank,general_press,article,ja,5,2026-09-07,ZE500 CyberPatra new ASMR sound and Touch de Patra
S053,https://x.com/final_audio/status/1974095472324456923,final Inc.,brand_official,social_post,ja,1,2026-09-07,4th installment pre-order announcement
S054,https://final-inc.com/en/blogs/value-ws-1/news-293,final Inc.,brand_official,press_release,en,1,2026-09-07,VR1000 4th installment first general sale
S055,https://snext-final.com/products/detail/TWSN73,final Inc.,brand_official,product_page,ja,1,2026-09-07,Namikawa Daisuke TWSN73 - 100+ prototypes; 32 voices; 4 seiyuu; full spec; Nippon TV channel
S056,https://realsound.jp/tech/2024/07/post-1726555.html,Real Sound,trade_press,article,ja,4,2026-09-07,COTSUBU for ASMR Blue Archive YUUKA Ver.
S057,https://news.denfaminicogamer.jp/news/250719a,Denfaminicogamer,trade_press,article,ja,4,2026-09-07,COTSUBU for ASMR 3D Blue Archive HINA Ver.
S058,https://suoupatra.fanbox.cc/posts/6559020,Suou Patra,talent_official,social_post,ja,1,2026-09-07,Talent's own promotion of the collab
S059,https://online.stereosound.co.jp/_ct/17649347,Stereo Sound,trade_press,article,ja,4,2026-09-07,COTSUBU Patra BLACK pre-order period
S060,https://www.nikkan.co.jp/releases/view/160594,Nikkan Kogyo,trade_press,press_release,ja,4,2026-09-07,COTSUBU Patra BLACK corporate release mirror
S061,https://store.compoff-plus.jp/products/mt1229,Compoff Plus,retailer,listing,ja,4,2026-09-07,EVIDENCE: Suou Patra is 774 inc. not VOMS
S062,https://zeeny.com/collections/collaboration,Zeeny / NAIN,brand_official,product_index,ja,1,2026-09-07,Zeeny collab catalogue
S063,https://news.mynavi.jp/article/20230420-2658908/,Mynavi News,trade_press,article,ja,4,2026-09-07,Zeeny Lights 3 x Sakuya Azusa 14800 JPY 12-month lead time
S064,https://www.phileweb.com/news/d-av/202010/13/51295.html,PHILE WEB,trade_press,article,ja,4,2026-09-07,Zeeny Lights x Usagi Mari 9800 JPY excl tax
S065,https://zeeny.com/products/virtual-agent-akagami-zeeny-lights-3,Zeeny / NAIN,brand_official,product_page,ja,1,2026-09-07,Zeeny Lights 3 x Akagami
S066,https://zeeny.com/products/special-edition,Zeeny / NAIN,brand_official,product_page,ja,1,2026-09-07,Zeeny Artist VTuber Special Edition
S067,https://www.ear-phone-review.com/entry/news/Zeeny_Lights_×_鈴原るる,audio-sound @ hatena,community,article,ja,6,2026-09-07,Zeeny Lights x Suzuhara Ruru - discovery lead only
S068,https://www.nikkei.com/compass/company/jNh5CvwsvEMG37ERUNQjjv,Nikkei,trade_press,company_profile,ja,4,2026-09-07,NAIN Inc corporate and funding
S069,https://initial.inc/companies/A-16364,INITIAL,trade_press,company_profile,ja,4,2026-09-07,NAIN Inc funding history
S070,https://morningpitch.com/startups/13841/,Morning Pitch,trade_press,company_profile,ja,4,2026-09-07,NAIN Inc startup profile
S071,https://sg.wantedly.com/companies/NainInc,Wantedly,general_press,company_profile,ja,5,2026-09-07,NAIN founding 2014-11; founder Yamamoto Kentaro; ~30 staff; Zeeny Assistant voice-skin service; Yv licensing
S072,https://www.famitsu.com/news/202212/21287229.html,Famitsu,trade_press,article,ja,4,2026-09-07,Universal Music 6-seiyuu earphones full spec both platforms 17050 JPY
S073,https://store.universal-music.co.jp/products/uizz4422,Universal Music Japan,brand_official,product_page,ja,1,2026-09-07,Hatano Wataru model with BUDDY PASS
S074,https://prtimes.jp/main/html/rd/p/000001563.000000664.html,Universal Music via PR Times,brand_official,press_release,ja,1,2026-09-07,Oto mo Radio deluxe edition 2022-12-21
S075,https://tower.jp/article/feature_item/2022/11/24/4002,Tower Records,retailer,article,ja,4,2026-09-07,Six-seiyuu models new release
S076,https://www.hmv.co.jp/news/article/2110141016/,HMV,retailer,article,ja,4,2026-09-07,TRUE WIRELESS STEREO EARPHONES character voice series
S077,https://www.hmv.co.jp/news/article/221118136/,HMV,retailer,article,ja,4,2026-09-07,Oto mo Radio 3rd installment - RETURNS HTTP 403
S078,https://www.hmv.co.jp/news/article/2011051003/,HMV,retailer,article,ja,4,2026-09-07,Seven seiyuu supervised wireless earphones 2020-11
S079,https://tower.jp/article/feature_item/2022/03/16/4003,Tower Records,retailer,article,ja,4,2026-09-07,Seiyuu / anime / artist original-audio earphone feature
S080,https://anime.eiga.com/news/119218/,Anime Hack,trade_press,article,ja,4,2026-09-07,AVIOT x Kiramune 13 seiyuu 39 voices 22000 JPY channels
S081,https://kai-you.net/article/72150,KAI-YOU,trade_press,article,ja,4,2026-09-07,KPro01 - 10M JPY in 1 hour; target 3M; launched 2020-02-19
S082,https://kai-you.net/article/74083,KAI-YOU,trade_press,article,ja,4,2026-09-07,KPro01 crossing 100M JPY
S083,https://news.mynavi.jp/article/20200508-1033231/,Mynavi News,trade_press,article,ja,4,2026-09-07,KPro01 - 166.07M JPY and 10003 backers
S084,https://www.oricon.co.jp/special/54697/,Oricon,general_press,article,ja,5,2026-09-07,Koiwai Kotori profile - 1億6千万円の女
S085,https://note.com/makuake_note/n/n0850ef65b051,Makuake,crowdfunding_platform,article,ja,3,2026-09-07,KPro01 official post-mortem - 160M / 53x; Makuake Of The Year 2020 GOLD; 70M stretch goal; 4-pin connector
S086,https://xtech.nikkei.com/atcl/nxt/column/18/00001/04387/,Nikkei xTECH,trade_press,article,ja,4,2026-09-07,KPro01 case study - product was rated poorly in internal review. MAY BE PAYWALLED
S087,https://news.yahoo.co.jp/articles/5d44f1fc92c98074d5418fea639e4c0b07192059,KAI-YOU via Yahoo,trade_press,article,ja,4,2026-09-07,KPro01 100M JPY mirror
S088,https://www.sony.jp/headphone/store/special/bocchitherock/,Sony,brand_official,product_page,ja,1,2026-09-07,Sony x Bocchi the Rock 3rd installment - PAGE RETURNS MOJIBAKE
S089,https://www.sony.jp/headphone/products/WF-C710N/,Sony,brand_official,product_page,ja,1,2026-09-07,Base platform for the Bocchi collab
S090,https://kakaku.com/item/J0000047771/,Kakaku.com,retailer,listing,ja,4,2026-09-07,WF-C710N street price 12884 JPY
S091,https://prtimes.jp/main/html/rd/p/000000317.000045133.html,JVCKenwood via PR Times,brand_official,press_release,ja,1,2026-09-07,Victor x Disney HA-A20T four models 7150 JPY
S092,https://www.victor.jp/headphones/disney/,Victor / JVCKenwood,brand_official,product_index,ja,1,2026-09-07,Disney Store exclusive collab line
S093,https://store.disney.co.jp/special/jvckenwood/,Disney Store Japan,agency_official,product_page,ja,1,2026-09-07,Disney side of the Victor collab
S094,https://news.mynavi.jp/article/20230515-2679802/,Mynavi News,trade_press,article,ja,4,2026-09-07,Victor Disney TWS four characters
S095,https://www.victor.jp/audio/lineup/ex-dub1/,Victor / JVCKenwood,brand_official,product_page,ja,1,2026-09-07,EX-DUB1 oshigoe audio - full spec; Mami Masafumi tuning; READING/RADIO TALK/TALK SHOW modes
S096,https://online-store.jvckenwood.com/c/audio/jvc-victor-audio/woodcone/usb-va1,JVCKenwood,brand_official,product_page,ja,1,2026-09-07,USB-VA1 Suzumura Kenichi voice content SKU
S097,https://www.cafereogroup.com/cr-goods/groovecoaster_hololive_wirelessearphone/,Cafereo,brand_official,product_page,ja,1,2026-09-07,Groove Coaster x hololive vol.1
S098,https://www.cafereogroup.com/cr-goods/groovecoaster_hololive_wirelessearphone_vol3/,Cafereo,brand_official,product_page,ja,1,2026-09-07,Groove Coaster x hololive vol.3
S099,https://www.hmv.co.jp/news/article/230804138/,HMV,retailer,article,ja,4,2026-09-07,Groove Coaster x hololive Noel and Chloe
S100,https://www.phileweb.com/news/d-av/202010/16/51326.html,PHILE WEB,trade_press,article,ja,4,2026-09-07,audio-technica Color of Life 5 seiyuu promo only
S101,https://prtimes.jp/main/html/rd/p/000000155.000004355.html,Tribal Media House via PR Times,agency_official,press_release,ja,1,2026-09-07,audio-technica Color of Life 2nd Season
S102,https://www.audio-technica.co.jp/news/detail/350,Audio-Technica,brand_official,press_release,ja,1,2026-09-07,ATH-SQ1TW2NC Always you Always colorful 5 seiyuu campaign
S103,https://note.aktio.co.jp/art/20210303-1426.html,Aktio Note,general_press,interview,ja,5,2026-09-07,Koiwai Kotori audio-engineering involvement
S104,https://www.e-earphone.jp/blogs/feature/collaboration_earphone,e-earphone,retailer,article,ja,4,2026-09-07,MASTER collab index; resale price escalation commentary; ASMR tuning as differentiator
S105,https://e-earphone.blog/?p=1486546,e-earphone,retailer,article,ja,4,2026-09-07,Earphones for seiyuu radio and VTuber streams
S106,https://e-earphone.blog/?p=1498537,e-earphone,retailer,article,ja,4,2026-09-07,ASMR-suitable earphones
S107,https://www.e-earphone.jp/blogs/feature/asmr,e-earphone,retailer,article,ja,4,2026-09-07,ASMR earphone selection
S108,https://goods-mate.com/earphones/,Goods Mate,retailer,service_page,ja,4,2026-09-07,DEDICATED BUY-BACK SERVICE for anime/game/VTuber collab earphones - secondary market infrastructure
S109,https://cmsong-navi.com/2024/11/12/vtuberコラボイヤホンまとめ-ホロライブ-にじさんじ-な/,Arage no Susume,community,article,ja,6,2026-09-07,VTuber collab roundup - DISCOVERY ONLY; contains an error attributing COTSUBU to Sony
S110,https://tonchinkan-ear.hatenablog.com/entry/2026/01/15/114959,Earphone Hunter,community,article,ja,6,2026-09-07,LUKLUK Aoharu01 DLsite tie-in with Moondrop involvement
S111,https://www.moguravr.com/cover-2026-q4-earnings/,Mogura VR,trade_press,article,ja,4,2026-09-07,COVER FY2026/3 full year 493億円; merchandising 237億4700万; licensing 71億9800万
S112,https://www.moguravr.com/cover-2026-q3-financial-results/,Mogura VR,trade_press,article,ja,4,2026-09-07,COVER Q3 cumulative 346億円 +20.2%
S113,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260514/20260514534025.pdf,COVER Corp,ir_filing,annual_report,ja,2,2026-09-07,COVER FY2026/3 tanshin - RETURNED UNPARSEABLE BINARY on automated fetch
S114,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20250212/20250212570192.pdf,COVER Corp,ir_filing,quarterly_report,ja,2,2026-09-07,COVER FY2025/3 Q3 tanshin - unparseable
S115,https://panora.tokyo/archives/131810,PANORA,trade_press,article,ja,4,2026-09-07,COVER Q3 commentary
S116,https://finance.logmi.jp/articles/382947,logmi Finance,trade_press,earnings_call,ja,4,2026-09-07,COVER earnings call - Live/Events +68%
S117,https://finance.logmi.jp/articles/381151,logmi Finance,trade_press,earnings_call,ja,4,2026-09-07,COVER merchandising expansion commentary
S118,https://finance.biggo.jp/news/jpx_tdnet_140120260812518254,BigGo Finance,trade_press,filing_mirror,ja,4,2026-09-07,COVER FY2027/3 Q1 tanshin mirror
S119,https://japanir.jp/company/company-5032/ir/5032-20260610-01_wp_financial_summary/,Japan IR,trade_press,financial_summary,ja,4,2026-09-07,ANYCOLOR FY2026 revenue 55.7億円 confirmed magnitude
S120,https://www.moguravr.com/anycolor-fy2026-annual-results/,Mogura VR,trade_press,article,ja,4,2026-09-07,ANYCOLOR FY2026 556億円 +29.9%
S121,https://finance.logmi.jp/articles/385001,logmi Finance,trade_press,earnings_call,ja,4,2026-09-07,ANYCOLOR FY2026 full figures; commerce ~70% of revenue; FY2027 guidance
S122,https://finance.logmi.jp/articles/382668,logmi Finance,trade_press,earnings_call,ja,4,2026-09-07,ANYCOLOR Q1 commerce 103億9400万; events 21億1700万
S123,https://finance.logmi.jp/articles/382128,logmi Finance,trade_press,earnings_call,ja,4,2026-09-07,ANYCOLOR Q4 upside; commerce-led fan expansion
S124,https://finance.logmi.jp/articles/383369,logmi Finance,trade_press,earnings_call,ja,4,2026-09-07,ANYCOLOR guidance revision and dividend
S125,https://finance.logmi.jp/articles/384031,logmi Finance,trade_press,earnings_call,ja,4,2026-09-07,ANYCOLOR double-digit growth commerce driven
S126,https://panora.tokyo/archives/145278,PANORA,trade_press,article,ja,4,2026-09-07,ANYCOLOR FY2026 +30% revenue +23% operating profit
S127,https://panora.tokyo/archives/134855,PANORA,trade_press,article,ja,4,2026-09-07,ANYCOLOR Q3 +45%
S128,https://www.moguravr.com/anycolor-q3-financial-results-2026/,Mogura VR,trade_press,article,ja,4,2026-09-07,ANYCOLOR Q3 420億円 +45.4%
S129,https://gamebiz.jp/news/417353,gamebiz,trade_press,article,ja,4,2026-09-07,ANYCOLOR 2Q +51% revenue +63% operating profit
S130,https://gamebiz.jp/news/407238,gamebiz,trade_press,article,ja,4,2026-09-07,ANYCOLOR FY2025 comparison +34% / +31%
S131,https://gamebiz.jp/news/422691,gamebiz,trade_press,article,ja,4,2026-09-07,ANYCOLOR goods valuation loss and guidance cut
S132,https://www.moguravr.com/anycolor-q1-fy2026-financial-results/,Mogura VR,trade_press,article,ja,4,2026-09-07,ANYCOLOR Q1 +12% revenue +57% operating profit
S133,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260311/20260311579611.pdf,ANYCOLOR,ir_filing,quarterly_report,ja,2,2026-09-07,ANYCOLOR FY2026/4 Q3 IR deck - NOT YET READ
S134,https://finance.yahoo.co.jp/quote/5032.T/financials,Yahoo Finance Japan,trade_press,financial_data,ja,4,2026-09-07,ANYCOLOR financial data
S135,https://finance.yahoo.co.jp/quote/5253.T/financials,Yahoo Finance Japan,trade_press,financial_data,ja,4,2026-09-07,COVER financial data
S136,https://minkabu.jp/stock/5253/settlement,Minkabu,trade_press,financial_data,ja,4,2026-09-07,COVER settlement data
S137,https://note.com/aikessanlab/n/n09756798d4e0,AI Kessan Lab,community,article,ja,6,2026-09-07,ANYCOLOR Q1 analysis - discovery only
S138,https://note.com/suikabatake/n/nbb7ff3ef5957,Suika,community,article,ja,6,2026-09-07,ANYCOLOR commerce analysis - discovery only
S139,https://moondroplab.com/cn/collabs,MOONDROP,brand_official,product_index,zh,1,2026-09-07,MOONDROP full collab catalogue and prices
S140,https://moondroplab.com/cn/about-us,MOONDROP,brand_official,corporate,zh,1,2026-09-07,MOONDROP company positioning and cultural IP ecosystem claim
S141,https://moondroplab.com/cn/history,MOONDROP,brand_official,corporate,zh,1,2026-09-07,MOONDROP company history
S142,https://moondroplab.com/cn/products/elven-maiden,MOONDROP,brand_official,product_page,zh,1,2026-09-07,EVIDENCE: Elven Maiden is a Miku x MOEYU collab not in-house
S143,https://www.chwang.com/article/202179267642,Chuhai Wang,trade_press,article,zh,4,2026-09-07,MOONDROP corporate - founded 2015 Chengdu; 上亿 output value; 20+ countries; 16 VGP 2026 awards; ACG+acoustics strategy; VDSF
S144,https://www.163.com/dy/article/L1FNSGMG0511B8LM.html,NetEase,general_press,article,zh,5,2026-09-07,MOONDROP x Luo Tianyi gift box 239 CNY; Pudding-based; 10mm; LHDC; 22nm SoC
S145,https://finance.sina.com.cn/tech/digi/2026-05-20/doc-inhypnum1754636.shtml,Sina Tech,general_press,article,zh,5,2026-09-07,MOONDROP x Hatsune Miku 239 CNY; MIRAGE-based; Miku V3 art; leek case
S146,https://www.smzdm.com/p/42271281/,SMZDM,retailer,listing,zh,4,2026-09-07,MOONDROP x Moeyu Aria Miku 439 CNY 0.78mm 2-pin
S147,https://www.sohu.com/a/978705182_122511859,Sohu,general_press,article,zh,5,2026-09-07,MOONDROP x Wuthering Waves 299 CNY Jan 23 launch
S148,https://www.taptap.cn/moment/763135895854384737,TapTap,community,forum_post,zh,6,2026-09-07,Wuthering Waves collab detail - discovery only
S149,https://digi.ithome.com/archiver/852/628.htm,IT Home,trade_press,article,zh,4,2026-09-07,Meizu PANDAER x MOONDROP PILL - brand x brand not talent
S150,https://www.ednchina.com/technews/40160.html,EDN China,trade_press,teardown,zh,4,2026-09-07,MOONDROP U.C.T.S. teardown - BOM inference
S151,https://dcdv.zol.com.cn/1089/10895332.html,ZOL,trade_press,article,zh,4,2026-09-07,SONGX x Luo Tianyi 229 CNY list / 184.45 promo; ANC; HiFi positioning
S152,https://finance.sina.com.cn/tech/roll/2025-04-06/doc-inesfyaa9088331.shtml,Sina Tech,general_press,article,zh,5,2026-09-07,SONGX x Luo Tianyi 339 CNY channel price
S153,https://finance.sina.com.cn/tech/roll/2025-10-13/doc-infttxhi2909899.shtml,Sina Tech,general_press,article,zh,5,2026-09-07,SONGX x Luo Tianyi 290 CNY promo
S154,https://www.smzdm.com/p/137704989/,SMZDM,retailer,listing,zh,4,2026-09-07,SONGX x Luo Tianyi JD 339 CNY
S155,https://detail.zol.com.cn/manufacturer/index58488.html,ZOL,trade_press,company_profile,zh,4,2026-09-07,SONGX = Shenzhen Yinzhun Technology; Red Dot/iF/G-MARK; collab list
S156,http://www.songplusaudio.com/contactus.html,SONGX,brand_official,corporate,zh,1,2026-09-07,SONGX corporate contact
S157,https://www.cnpp.cn/pinpai/4210428.html,CNPP,community,company_profile,zh,6,2026-09-07,SONGX brand profile - discovery only
S158,https://www.52audio.com/archives/63803.html,52audio,trade_press,teardown,zh,4,2026-09-07,SONGX SX06 teardown - sibling model BOM reference
S159,https://www.hk01.com/數碼生活/60277309/,HK01,general_press,article,zh,5,2026-09-07,TANCHJIM anime earphone series from HKD 399
S160,https://post.smzdm.com/p/admk22lp/,SMZDM,retailer,review,zh,4,2026-09-07,TANCHJIM BUNNY 99 CNY class
S161,https://zhuanlan.zhihu.com/p/375558402,Zhihu,community,review,zh,6,2026-09-07,TANCHJIM Tanya review - discovery only
S162,https://www.jmplus.com.tw/collections/tanchjim,JM-PLUS,retailer,product_index,zh,4,2026-09-07,TANCHJIM range and in-house character Asano Tanchi
S163,https://news.qq.com/rain/a/20260712A07FZA00,Tencent News / Leibao,trade_press,article,zh,4,2026-09-07,MissEvan 12 years; own earphone launched Jul 10; platform scale metrics; Maoer Shengke attendance
S164,https://www.sina.cn/news/detail/5318467738928627.html,Sina,general_press,article,zh,5,2026-09-07,MissEvan earphone launch Jul 10; app-exclusive entry unlock
S165,https://www.sina.cn/news/detail/5329392450405495.html,Sina,general_press,article,zh,5,2026-09-07,Maoer Shengke 2026 event 2026-09-11 to 09-13 Changzhou
S166,https://mall.jd.com/index-15408726.html,JD.com,retailer,storefront,zh,4,2026-09-07,MissEvan JD flagship store - earphone price NOT SURFACED
S167,https://www.missevan.com/,MissEvan,brand_official,platform,zh,1,2026-09-07,MissEvan platform
S168,https://baike.baidu.com/item/猫耳FM/66687089,Baidu Baike,community,encyclopedia,zh,6,2026-09-07,MissEvan background and Maoer Shengke event brand
S169,https://www.woshipm.com/evaluating/4341626.html,Woshipm,community,product_analysis,zh,6,2026-09-07,MissEvan product analysis - discovery only
S170,https://www.163.com/dy/article/KF31EPET0531RVQO.html,NetEase,general_press,article,zh,5,2026-09-07,Maoer Shengke sound culture commentary
S171,https://www.fxbaogao.com/detail/5434123,Faxian Baogao,trade_press,prospectus,zh,4,2026-09-07,Maoer Shengke 2026 sponsorship prospectus - PAYWALLED
S172,https://k.sina.cn/article_1749990115_684ebae3020017wyi.html,Sina,general_press,article,zh,5,2026-09-07,CN audio drama economics - CV fees 5000-10000/ep; Sha Po Lang 7.71M; Mo Dao Zu Shi >10M; platform pricing
S173,https://zhongchou.modian.com/item/43338.html,Modian,crowdfunding_platform,campaign_page,zh,3,2026-09-07,Sha Po Lang audio drama merchandise crowdfunding campaign
S174,https://wapbaike.baidu.com/tashuo/browse/content?id=9167c87c33b9f6c2f5d1c198,Baidu,community,article,zh,6,2026-09-07,Audio drama derivative market survey
S175,https://zhuanlan.zhihu.com/p/429408388,Zhihu,community,article,zh,6,2026-09-07,Sound economy analysis via web audio drama
S176,https://zh.wikipedia.org/zh-cn/VirtuaReal,Wikipedia,community,encyclopedia,zh,6,2026-09-07,VirtuaReal entity; bilibili wholly-owned; ANYCOLOR no equity; 61 members; 145.54M followers
