product_id,brand,brand_country,product_name,model_code,partner_name,partner_class,partner_agency,form_factor,connectivity,collab_depth,price_value,price_currency,price_tax_basis,voice_clip_count,announce_date,order_open,release_date,availability,driver_config,bt_version,codecs,battery_bud_h,battery_case_h,water_rating,weight_g,units_sold,units_basis,channel,confidence,notes
P0011,AVIOT,JP,Apothecary Diaries collab model,TE-Q3-KSR,Kusuriya no Hitorigoto,anime_ip,,tws_iem,wireless_bt,cosmetic_plus_media,22880,JPY,incl,,,,,standing_catalog,,,,,,,,,,AVIOT ONLINE MALL,verified_primary,
P0012,AVIOT,JP,Haikyu!! collab model,TE-Q3-HK,Haikyu!!,anime_ip,,tws_iem,wireless_bt,cosmetic_plus_media,,JPY,,370,,,,standing_catalog,,,,,,,,,,AVIOT ONLINE MALL,verified_primary,multiple team models; 370+ clips incl character interactions; price not found
P0013,AVIOT,JP,Evangelion collab model,TE-V1R-EVA,Neon Genesis Evangelion,anime_ip,,tws_iem,wireless_bt,cosmetic_plus_media,22880,JPY,incl,,,,,standing_catalog,10mm dynamic + BA hybrid,5.3,LDAC;AAC;SBC,,,IPX4,,,,AVIOT ONLINE MALL,verified_primary,guidance voices from 9 characters
P0014,AVIOT,JP,Azur Lane 2nd wave collab model,TE-V1R-AZ2,Azur Lane,game_ip,,tws_iem,wireless_bt,cosmetic_plus_media,22880,JPY,incl,100,2026-08-31,2026-08-31,,standing_catalog,10mm dynamic + BA hybrid,5.3,LDAC;AAC;SBC,,,IPX4,,,,AVIOT ONLINE MALL,verified_primary,
P0015,AVIOT,JP,New Panty & Stocking collab model,TE-Q3R-NPS,New Panty & Stocking with Garterbelt,anime_ip,,tws_iem,wireless_bt,cosmetic_plus_media,22880,JPY,incl,250,2026-08-21,2026-08-21,,standing_catalog,,,,,,,,,,AVIOT ONLINE MALL,verified_primary,
P0016,AVIOT,JP,Dungeon Meshi collab model,TE-V1R-DJM,Dungeon Meshi,anime_ip,,tws_iem,wireless_bt,cosmetic_plus_media,22880,JPY,incl,,2026-08-04,,,standing_catalog,10mm dynamic + BA hybrid,5.3,LDAC;AAC;SBC,,,IPX4,,,,AVIOT ONLINE MALL,verified_primary,
P0017,AVIOT,JP,Jujutsu Kaisen collab model,TE-V1R-JK,Jujutsu Kaisen,anime_ip,,tws_iem,wireless_bt,cosmetic_plus_media,22880,JPY,incl,,,,,standing_catalog,10mm dynamic + BA hybrid,5.3,LDAC;AAC;SBC,,,IPX4,,,,AVIOT ONLINE MALL,verified_primary,new original logo design on package and buds
P0018,AVIOT,JP,Blue Archive collab model,TE-V1R-BLA,Blue Archive,game_ip,Yostar,tws_iem,wireless_bt,cosmetic_plus_media,22880,JPY,incl,,,,,standing_catalog,10mm dynamic + BA hybrid,5.3,LDAC;AAC;SBC,,,IPX4,,,,AVIOT ONLINE MALL,verified_primary,
P0019,AVIOT,JP,Madoka Magica Rebellion collab model,TE-V1R-MMM,Mahou Shoujo Madoka Magica (Rebellion),anime_ip,,tws_iem,wireless_bt,cosmetic_plus_media,22880,JPY,incl,,,,,standing_catalog,10mm dynamic + BA hybrid,5.3,LDAC;AAC;SBC,,,IPX4,,,,AVIOT ONLINE MALL,verified_primary,
P0020,AVIOT,JP,Gakuen Idolmaster collab model,TE-V1R-GIM,Gakuen Idolmaster,game_ip,Bandai Namco,tws_iem,wireless_bt,cosmetic_plus_media,22880,JPY,incl,,,,,standing_catalog,10mm dynamic + BA hybrid,5.3,LDAC;AAC;SBC,,,IPX4,,,,AVIOT ONLINE MALL,verified_primary,
P0021,AVIOT,JP,Go-toubun no Hanayome collab model,TE-V1R-GHY,Go-toubun no Hanayome,anime_ip,,tws_iem,wireless_bt,cosmetic_plus_media,22880,JPY,incl,,2025-11-18,,,standing_catalog,10mm dynamic + BA hybrid,5.3,LDAC;AAC;SBC,,,IPX4,,,,AVIOT ONLINE MALL,verified_primary,
P0022,AVIOT,JP,Shin Tennis no Ouji-sama 2nd wave,TE-V1R-TP-S2,Shin Tennis no Ouji-sama,anime_ip,,tws_iem,wireless_bt,cosmetic_plus_media,22880,JPY,incl,,,,,standing_catalog,10mm dynamic + BA hybrid,5.3,LDAC;AAC;SBC,,,IPX4,,,,AVIOT ONLINE MALL,verified_primary,
P0023,AVIOT,JP,Katekyo Hitman REBORN! collab model,TE-Q3-RBN,Katekyo Hitman REBORN!,anime_ip,,tws_iem,wireless_bt,cosmetic_plus_media,22880,JPY,incl,,,,,standing_catalog,,,,,,,,,,AVIOT ONLINE MALL,verified_primary,
P0024,AVIOT,JP,Lycoris Recoil collab model,TE-V1R-LYC,Lycoris Recoil,anime_ip,,tws_iem,wireless_bt,cosmetic_plus_media,19800,JPY,incl,,2026-06-11,,,standing_catalog,10mm dynamic + BA hybrid,5.3,LDAC;AAC;SBC,,,IPX4,,,,AVIOT ONLINE MALL,verified_primary,
P0025,AVIOT,JP,Kuromi collab model,TE-Q3R-KUR,Kuromi,character_ip,Sanrio,tws_iem,wireless_bt,cosmetic,19800,JPY,incl,,2026-04-09,,,standing_catalog,,,,,,,,,,AVIOT ONLINE MALL,verified_primary,
P0026,AVIOT,JP,Cinnamoroll collab model,TE-Q3R-CNR,Cinnamoroll,character_ip,Sanrio,tws_iem,wireless_bt,cosmetic,19800,JPY,incl,,2026-04-09,,,standing_catalog,,,,,,,,,,AVIOT ONLINE MALL,verified_primary,
P0027,AVIOT,JP,Kagura Nana collab model,TE-V1R-KGR,Kagura Nana,vtuber_individual,independent,tws_iem,wireless_bt,cosmetic_plus_media,18700,JPY,incl,,2026-06-25,,,standing_catalog,10mm dynamic + BA hybrid,5.3,LDAC;AAC;SBC,,,IPX4,,,,AVIOT ONLINE MALL,verified_primary,individual talent tier
P0028,AVIOT,JP,96Neko collab model,TE-V1R-96N,96Neko,utaite_individual,independent,tws_iem,wireless_bt,cosmetic_plus_media,18700,JPY,incl,,2026-03-30,,,standing_catalog,10mm dynamic + BA hybrid,5.3,LDAC;AAC;SBC,,,IPX4,,,,AVIOT ONLINE MALL,verified_primary,individual talent tier
P0029,AVIOT,JP,Marimari Marry collab model,TE-Q3R-MRY,Marimari Marry,vtuber_unit,,tws_iem,wireless_bt,cosmetic_plus_media,18700,JPY,incl,140,2026-06-12,2026-06-12,,standing_catalog,,,,,,,,,,AVIOT ONLINE MALL,verified_primary,
P0030,AVIOT,JP,Aogiri High School collab model,TE-V1R-AGK,Aogiri High School,vtuber_unit,Aogiri High School,tws_iem,wireless_bt,cosmetic_plus_media,,JPY,,270,,,,standing_catalog,,,,,,,,,,AVIOT ONLINE MALL,verified_secondary,270+ clips; 3 audio modes; price not found
P0031,AVIOT,JP,BUSTAFELLOWS collab model,,BUSTAFELLOWS,game_ip,,tws_iem,wireless_bt,cosmetic_plus_media,,JPY,,150,,,,standing_catalog,,,,,,,,,,AVIOT ONLINE MALL,verified_secondary,150+ newly recorded clips; model code not found
P0032,AVIOT,JP,Hyakumantenbara Salome collab model,TE-V1R-SLM,Hyakumantenbara Salome,vtuber_individual,ANYCOLOR,tws_iem,wireless_bt,cosmetic_plus_media,,JPY,,,,,,,,,,,,,,,,AVIOT ONLINE MALL,lead_only,aggregator source only
P0033,AVIOT,JP,Kamen Rider 555 collab model,TE-D01v-555,Kamen Rider 555,tokusatsu_ip,Toei,tws_iem,wireless_bt,cosmetic_plus_media,,JPY,,,,,,,,,,,,,,,,AVIOT ONLINE MALL,lead_only,transformation voice clips reported
P0034,ONKYO,JP,Girls Band Cry K1 Universal,IE-K1,Girls Band Cry,anime_ip,,iem,wired,cosmetic,104500,JPY,incl,,,2026-08-28,,limited_active,1x magnesium BA full-range,,,,,,,,,ONKYO DIRECT;Oto-Ani Akihabara,verified_primary,co-developed with Suyama Dental Lab (FitEar); 5 character variants
P0035,ONKYO,JP,Girls Band Cry K1 Custom,IE-K1,Girls Band Cry,anime_ip,,iem,wired,cosmetic,143000,JPY,incl,,,2026-08-28,,limited_active,1x magnesium BA full-range,,,,,,,,,ONKYO DIRECT;Oto-Ani Akihabara,verified_primary,custom-moulded; JPY 38500 premium over universal
P0036,ONKYO,JP,Girls Band Cry K2 Universal,IE-K2,Girls Band Cry,anime_ip,,iem,wired,cosmetic,143000,JPY,incl,,,2026-08-28,,limited_active,magnesium BA + tweeter (1+1),,,,,,,,,ONKYO DIRECT;Oto-Ani Akihabara,verified_primary,
P0037,ONKYO,JP,Girls Band Cry K2 Custom,IE-K2,Girls Band Cry,anime_ip,,iem,wired,cosmetic,181500,JPY,incl,,,2026-08-28,,limited_active,magnesium BA + tweeter (1+1),,,,,,,,,ONKYO DIRECT;Oto-Ani Akihabara,verified_primary,
P0038,ONKYO,JP,Girls Band Cry K3 Custom,IE-K3,Girls Band Cry,anime_ip,,iem,wired,cosmetic,250000,JPY,incl,,,2026-08-28,,limited_active,4 BA 3-way (1 low + 2 low-mid + 1 high),,,,,,,,,ONKYO DIRECT;Oto-Ani Akihabara,verified_primary,highest price in dataset; 3-year warranty; Pelican 1010 case; tuning advisor Harada Mitsuharu
P0039,ONKYO,JP,ANIMA AOW01 Girls Band Cry TOGENASHI TOGEARI,AOW01,Girls Band Cry (Iseri Nina),anime_ip,,tws_iem,wireless_bt,cosmetic_plus_media,20000,JPY,incl_with_shipping,,2025-03-28,2025-03-28,2025-07,limited_sold_out,6mm dynamic CoClear diaphragm,5.1,,6,15,IPX7,,,,ONKYO DIRECT;Oto-Ani Akihabara,verified_primary,re-order run; order window to 2025-05-16; wireless charging
P0040,ONKYO,JP,ANIMA AOW01 Girls Band Cry Diamond Dust,AOW01,Girls Band Cry (Hina),anime_ip,,tws_iem,wireless_bt,cosmetic_plus_media,20000,JPY,incl_with_shipping,11,2025-03-28,2025-03-28,2025-07,limited_sold_out,6mm dynamic CoClear diaphragm,5.1,,6,15,IPX7,,,,ONKYO DIRECT;Oto-Ani Akihabara,verified_primary,11 voice words; package illustration by Teshima Nari
P0041,ONKYO,JP,ANIMA AOW04 Usami Lito model,AOW04,Usami Lito,vtuber_individual,ANYCOLOR,tws_iem,wireless_bt,cosmetic_plus_media,18000,JPY,incl,,2026-05-13,,,limited_active,,5.3,,,,IPX4,,,,ONKYO DIRECT;Oto-Ani Akihabara,verified_primary,made-to-order; ANC
P0042,ONKYO,JP,ANIMA AOW04 Saeki Ittetsu model,AOW04,Saeki Ittetsu,vtuber_individual,ANYCOLOR,tws_iem,wireless_bt,cosmetic_plus_media,18000,JPY,incl,,2026-05-13,,,limited_active,,5.3,,,,IPX4,,,,ONKYO DIRECT;Oto-Ani Akihabara,verified_primary,made-to-order; ANC
P0043,ONKYO,JP,ANIMA AOW04 Koyanagi Rou model,AOW04,Koyanagi Rou,vtuber_individual,ANYCOLOR,tws_iem,wireless_bt,cosmetic_plus_media,18000,JPY,incl,11,2025-03-13,,,limited_sold_out,,5.3,,,,IPX4,,,,ONKYO DIRECT;Oto-Ani Akihabara,verified_primary,11 voice words
P0044,ONKYO,JP,ANIMA AOW04 Hoshidou Shou model,AOW04,Hoshidou Shou,vtuber_individual,ANYCOLOR,tws_iem,wireless_bt,cosmetic_plus_media,18000,JPY,incl,11,2025-03-13,,,limited_sold_out,,5.3,,,,IPX4,,,,ONKYO DIRECT;Oto-Ani Akihabara,verified_primary,11 voice words
P0045,ONKYO,JP,ANIMA AOW04 Kanae model,AOW04,Kanae,vtuber_individual,ANYCOLOR,tws_iem,wireless_bt,cosmetic_plus_media,,JPY,,,,2024-10-16,,limited_sold_out,,5.3,,,,IPX4,,,,ONKYO DIRECT;Oto-Ani Akihabara,verified_primary,fully made-to-order; orders opened 15:00
P0046,ONKYO,JP,ANIMA AOW04 Hiyahachi Mana model,AOW04,Hiyahachi Mana,vtuber_individual,ANYCOLOR,tws_iem,wireless_bt,cosmetic_plus_media,,JPY,,,,,,limited_sold_out,,5.3,,,,IPX4,,,,ONKYO DIRECT;Oto-Ani Akihabara,verified_primary,fully made-to-order
P0047,ONKYO,JP,ANIMA ANW03 Midnight Grand Orchestra Ver.,ANW03,Hoshimachi Suisei x TAKU INOUE,vtuber_individual,COVER Corp,over_ear_closed,wireless_bt,cosmetic_plus_media,,JPY,,42,,,,standing_catalog,large-diameter dynamic,,,,,,,,,ONKYO DIRECT;Oto-Ani Akihabara,verified_secondary,42 clips cited as class-leading for a standalone model; price not found
P0048,ONKYO,JP,ANIMA ANW01 Midnight Grand Orchestra Ver.,ANW01,Midnight Grand Orchestra,music_project,COVER Corp,over_ear_closed,wireless_bt,cosmetic_plus_media,,JPY,,,,,,discontinued,,,,,,,,,,ONKYO DIRECT,verified_secondary,used market only
P0049,ONKYO,JP,ANIMA AOW04 Make Heroine ga Oosugiru model,AOW04,Makeine (Yanami Anna),anime_ip,,tws_iem,wireless_bt,cosmetic_plus_media,,JPY,,,,,,limited_sold_out,,5.3,,,,IPX4,,,,ONKYO DIRECT;Oto-Ani Akihabara,verified_primary,newly recorded Yanami Anna voice guidance
P0050,ONKYO,JP,ANIMA AOW04 MONO,AOW04,TV anime mono,anime_ip,,tws_iem,wireless_bt,cosmetic_plus_media,,JPY,,,,,,limited_sold_out,,5.3,,,,IPX4,,,,ONKYO DIRECT;Oto-Ani Akihabara,verified_primary,limited-period made-to-order
P0051,ONKYO,JP,ANIMA AOW04 Suzutsuki Sui model,AOW04,Suzutsuki Sui,vtuber_individual,,tws_iem,wireless_bt,cosmetic_plus_media,,JPY,,,,,,limited_active,,5.3,,,,IPX4,,,,ONKYO DIRECT,verified_primary,
P0052,ONKYO,JP,ANIMA AOW04 Kanan-sama model,AOW04,Kanan-sama wa Akumade Choroi,anime_ip,,tws_iem,wireless_bt,cosmetic_plus_media,,JPY,,,,,,limited_active,,5.3,,,,IPX4,,,,ONKYO DIRECT,verified_primary,
P0053,ONKYO,JP,CP-TWS01E Kagura Mea model,CP-TWS01E,Kagura Mea,vtuber_individual,independent,tws_iem,wireless_bt,cosmetic_plus_media,,JPY,,,,,,,,,,,,,,,,ONKYO DIRECT,verified_primary,price not published on collab index
P0054,ONKYO,JP,CP-TWS01F Gundam X model,CP-TWS01F,Mobile New Century Gundam X,anime_ip,Bandai Namco,tws_iem,wireless_bt,cosmetic,,JPY,,,,,,,,,,,,,,,,ONKYO DIRECT,verified_primary,
P0055,ONKYO,JP,AOW01 MARKII Shironeko Project 2nd,AOW01 MARKII,Shironeko Project,game_ip,COLOPL,tws_iem,wireless_bt,cosmetic_plus_media,,JPY,,,,,,,,,,,,,,,,ONKYO DIRECT,verified_primary,
P0056,ONKYO,JP,AOW04 Sgt. Frog model,AOW04,Keroro Gunso,anime_ip,,tws_iem,wireless_bt,cosmetic_plus_media,,JPY,,,,,,,,5.3,,,,IPX4,,,,ONKYO DIRECT,verified_primary,
P0057,ONKYO,JP,AOW01 MARKII Haruhi Suzumiya model,AOW01 MARKII,Suzumiya Haruhi no Yuutsu,anime_ip,,tws_iem,wireless_bt,cosmetic_plus_media,,JPY,,,,,,,,,,,,,,,,ONKYO DIRECT,verified_primary,
P0058,ONKYO,JP,AOW01 MARKII Milky Subway model,AOW01 MARKII,Ginga Tokkyu Milky Subway,anime_ip,,tws_iem,wireless_bt,cosmetic_plus_media,,JPY,,,,,,,,,,,,,,,,ONKYO DIRECT,verified_primary,
P0059,ONKYO,JP,CP-TWS01E Cho Kaguya-hime 2nd order,CP-TWS01E,Cho Kaguya-hime,anime_ip,,tws_iem,wireless_bt,cosmetic_plus_media,,JPY,,,,,,,,,,,,,,,,ONKYO DIRECT,verified_primary,second order round
P0060,ONKYO,JP,CP-TWS01E Sumeragi Miona model,CP-TWS01E,Sumeragi Miona,vtuber_individual,,tws_iem,wireless_bt,cosmetic_plus_media,,JPY,,,,,,,,,,,,,,,,ONKYO DIRECT,verified_primary,
P0061,ONKYO,JP,ANW-C010 Digimon Adventure Edition,ANW-C010,Digimon Adventure,anime_ip,Toei,over_ear_closed,wireless_bt,cosmetic,,JPY,,,,,,,,,,,,,,,,ONKYO DIRECT,verified_secondary,Taichi/Agumon/Yamato/Gabumon artwork
P0062,ONKYO,JP,CP-TWS01A Nijisanji models,CP-TWS01A,Nijisanji (Saegusa Akina; Kuzuha; Fushimi Gaku; Rize Helesta),vtuber_individual,ANYCOLOR,tws_iem,wireless_bt,cosmetic_plus_media,,JPY,,,,,,,,,aptX Adaptive,,,,,,,ONKYO DIRECT,lead_only,aggregator source; four separate talent models
P0063,ONKYO,JP,CP-TWS01E Nijisanji models,CP-TWS01E,Nijisanji (Furen E Lustario; Anju Katrina),vtuber_individual,ANYCOLOR,tws_iem,wireless_bt,cosmetic_plus_media,,JPY,,13,,,,,,,aptX Adaptive,,,,,,,ONKYO DIRECT,lead_only,13 custom voice words reported
P0064,ONKYO,JP,ANIMA AOW01 Nanashi Inc models,AOW01,Nanashi Inc (Suzumi Nemo; Ryugasaki Rin; Yuge Ago),vtuber_individual,Nanashi Inc,tws_iem,wireless_bt,cosmetic_plus_media,,JPY,,,,,,,,,,,,,,,,ONKYO DIRECT,lead_only,includes a 5-year anniversary edition
P0065,final,JP,COTSUBU for ASMR -Patra Edition-,,Suou Patra,vtuber_individual,774 inc.,tws_iem,wireless_bt,co_tuned,8200,JPY,incl,,,2022-12,2022-12,discontinued,,,,,,,,1400,disclosed_partial,final official store,partial,400 meet-and-greet slots + 1000-unit final restock at 8200 JPY from 2023-07-21; a separate report claims 10000+ units in one month - CONFLICT UNRESOLVED
P0066,final,JP,COTSUBU for ASMR Patra Edition -BLACK Ver.-,,Suou Patra,vtuber_individual,774 inc.,tws_iem,wireless_bt,co_tuned,8200,JPY,incl,14,2023-08-20,2023-08-20,2023-12,limited_sold_out,dynamic (Qualcomm QCC3040),5.2,SBC;AAC;aptX,5,20,IPX4,3.5,25000,company_disclosed,final official store,verified_primary,10000+ units in first 12 hours; 25000-unit within-year allocation sold out; overflow shipped Apr 2024+; made-to-order no purchase limit; +780 JPY shipping; Secret Voice Mode with 3 random messages
P0067,final,JP,ZE500 for ASMR Patra version,ZE500,Suou Patra,vtuber_individual,774 inc.,tws_iem,wireless_bt,co_tuned,,JPY,,,,,,limited_sold_out,,,,,,,,,,final official store,verified_secondary,3rd installment; re-released alongside 4th installment launch
P0068,final,JP,VR1000 for ASMR Patra White,VR1000,Suou Patra,vtuber_individual,774 inc.,iem,wired,co_tuned,5980,JPY,incl,,,,2026-02-20,standing_catalog,dynamic,,,,,,15,,,final official store;general retail,verified_primary,first wired model in the series; ABS housing; OFC cable; 1.2m; 3.5mm plug
P0069,final,JP,VR1000 for ASMR Patra Black,VR1000,Suou Patra,vtuber_individual,774 inc.,iem,wired,co_tuned,5980,JPY,incl,,,,2026-02-20,standing_catalog,dynamic,,,,,,15,,,final official store;general retail,verified_primary,first wired model in the series; ABS housing; OFC cable; 1.2m; 3.5mm plug
P0070,final,JP,ZE500 for ASMR CyberPatra,ZE500,Suou Patra,vtuber_individual,774 inc.,tws_iem,wireless_bt,co_tuned,10800,JPY,incl,8,2026-08-10,2026-08-10,,limited_active,,,,4.5,18,,3,,,final official store,verified_primary,5th installment; two-colour set 20000 JPY; ASMRPort eardrum pressure vent; two ASMR voicings (melting-immersion / tingling-intimate); Touch de Patra time-of-day voices; order window to 2026-09-10
P0071,final,JP,COTSUBU for ASMR Blue Archive Edition -YUUKA Ver.-,,Blue Archive (Yuuka),game_ip,Yostar,tws_iem,wireless_bt,co_tuned,,JPY,,,2024-07,,,limited_sold_out,,,,,,,,,,,verified_secondary,planned with Yostar and Aisys/EXNOA; includes a Yuuka secret voice
P0072,final,JP,COTSUBU for ASMR 3D Blue Archive Edition -HINA Ver.-,,Blue Archive (Sorasaki Hina),game_ip,Yostar,tws_iem,wireless_bt,co_tuned,,JPY,,,2025-07,,,limited_sold_out,,,,,,,,,,,verified_secondary,CV Hirose Ryo; 2nd in the Blue Archive sub-series
P0073,final,JP,Nami ja nai Kiwami Earphone,TWSN73,Namikawa Daisuke,seiyuu_individual,,tws_iem,wireless_bt,co_designed,,JPY,,32,,,,discontinued,small-diameter dynamic,,SBC;AAC;aptX,9,180,IPX7,,,,Nippon TV shopping,verified_primary,deepest talent engineering found: 100+ prototype variants tested jointly; talent also supervised industrial design; 16 Wild Voice + 16 Sweet Voice; 4 seiyuu switchable in 2 patterns (Namikawa solo / Yoshino+Fukuyama+Eguchi trio); bundled wired FI-N73; 180h case figure anomalous - verify
P0074,final,JP,ZE300 BUZZ RHYTHM version,ZE300,Buzz Rhythm (Nippon TV),tv_programme,Nippon TV,tws_iem,wireless_bt,cosmetic,,JPY,,,,,,,,,,,,,,,,,lead_only,
P0075,Zeeny,JP,Zeeny Lights 3 x Sakuya Azusa,Zeeny Lights 3,Sakuya Azusa,vtuber_individual,,tws_iem,wireless_bt,cosmetic_plus_media,14800,JPY,,,2023-04-17,2023-04-17,2024-05,limited_sold_out,,,,,,,,,,zeeny.com,verified_secondary,~12-month order-to-ship lead time
P0076,Zeeny,JP,Zeeny Lights x Usagi Mari,Zeeny Lights,Usagi Mari,vtuber_individual,,tws_iem,wireless_bt,cosmetic_plus_media,9800,JPY,excl,,2020-10-13,,,limited_sold_out,,,,,,,,,,zeeny.com,verified_secondary,order window closed 2020-11-11
P0077,Zeeny,JP,Zeeny Lights 3 x Akagami,Zeeny Lights 3,Akagami,vtuber_individual,,tws_iem,wireless_bt,cosmetic_plus_media,,JPY,,,2023,,2024-07,limited_sold_out,,,,,,,,,,zeeny.com,verified_primary,order window closed 2023-07-30
P0078,Zeeny,JP,Zeeny Lights x Suzuhara Ruru,Zeeny Lights,Suzuhara Ruru,vtuber_individual,ANYCOLOR,tws_iem,wireless_bt,cosmetic_plus_media,,JPY,,,,,,limited_sold_out,,,,,,,,,,zeeny.com,verified_secondary,
P0079,Zeeny,JP,Zeeny Artist VTuber Special Edition,Zeeny Artist,various VTuber,vtuber_individual,,tws_iem,wireless_bt,cosmetic_plus_media,,JPY,,,,,,standing_catalog,,,,,,,,,,zeeny.com,verified_primary,hi-res positioning
P0080,Zeeny,JP,Zeeny Lights Sanrio outlet models,Zeeny Lights,Sanrio characters,character_ip,Sanrio,tws_iem,wireless_bt,cosmetic,5400,JPY,,,,,,discontinued,,,,,,,,,,zeeny.com,verified_secondary,clearance tier; lowest confirmed JP collab price
P0081,Universal Music (TOoKA BASE),JP,TRUE WIRELESS STEREO EARPHONES D60A,D60A,Ishihara Kaori / Kayano Ai / Seki Toshihiko / Hatanaka Tasuku,seiyuu_individual,,tws_iem,wireless_bt,cosmetic_plus_media,17050,JPY,incl,7,,,2022-12-21,limited_sold_out,6mm dynamic,5.0,AAC;SBC,5.5,15,IPX7,5,,,Universal Music store;HMV;Tower Records,verified_primary,7 voice-guidance commands scripted per actor; bundled ~15-min original voice drama per actor via BUDDY app and BUDDY PASS QR card; 15500 JPY excl tax
P0082,Universal Music (TOoKA BASE),JP,TRUE WIRELESS STEREO EARPHONES diamond-cut,,Eguchi Takuya / Hatano Wataru,seiyuu_individual,,tws_iem,wireless_bt,cosmetic_plus_media,17050,JPY,incl,7,,,2022-12-21,limited_sold_out,,5.0,,3.5,12,,4,,,Universal Music store;HMV;Tower Records,verified_primary,100dB +/-3dB; second hardware platform in the same line at the same price - ODM sourced not platform-based
P0083,Victor (JVCKenwood),JP,HA-A20T Donald Duck model,HA-A20T,Donald Duck,character_ip,Disney,tws_iem,wireless_bt,cosmetic_plus_media,7150,JPY,,,2023-05,,2023,standing_catalog,,,,7,24,,,,,Disney Store;disneystore.jp,verified_primary,character voice on power on/off and connect/disconnect; Disney Store exclusive
